A_ball,A_rad,abs_tol,c_ball,c_rad,cache_A,cache_A_exact_contained,cache_A_radius,cache_A_radius_contains_A_ball,cache_A_radius_overlaps_A_ball,cutoff,dps,elapsed_seconds,full_mu_ball,full_mu_rad,k,kind,lam,n_sum,retained_mu_ball,retained_mu_rad,tail_mu_bound
[2.1628108473432706070576635949143253972729986559448377318e-563 +/- 7.91e-619],5.937354801845273723722735109178138760627e-619,1e-150,[1.1697561519041666695845751359649079976409687839319006342e-917 +/- 5.71e-973],3.211218073478447533190274734793815866193e-973,,,,,,7,220,1.2668161000037799,[1.6070309467919975608373141427747377065626783431280500404e-95 +/- 7.64e-151],4.411626131105996614095329366949863951179e-151,191,acb_coefficient_enclosure,-100.0,70,[1.6070309467919975608373141427747377065626783431280500404e-95 +/- 7.64e-151],4.411626125415734215413531009336517610647e-151,2.184164743618235563589216315330383003439164871541510866233943701434486367137542067091657267238685473e-6331
[1.847073943239630634892649383222826080499412322836968149e-566 +/- 1.34e-621],8.659484821886732802045630166787476151599e-622,1e-150,[5.203072193598618112352650012012296669013278574078877515e-923 +/- 5.02e-978],2.439313527118368579328830046872019425902e-978,,,,,,7,220,1.1071344000083627,[1.0512808475355878235036127519856831939066665484307655863e-95 +/- 7.71e-151],4.9286334829741759039025324834547192169e-151,192,acb_coefficient_enclosure,-100.0,70,[1.0512808475355878235036127519856831939066665484307655863e-95 +/- 7.71e-151],4.928633477283913505220734125841372876367e-151,1.064681032298270826542307080254683060403709276473234660431491466099246900053772778522315115175802864e-6329
[1.573874767491833198369341629819168060581408430361193455e-569 +/- 2.18e-624],1.30179079245546432538519261030537187971e-624,1e-150,[2.297145128866718034914001768676092992278371562106458318e-928 +/- 6.58e-983],1.900025612461941884391034138867837687575e-983,,,,,,7,220,1.2578706000058446,[6.89755812032022782499622363374696043572600847606560999e-96 +/- 5.06e-150],5.705141086262162772732294486850043979375e-151,193,acb_coefficient_enclosure,-100.0,70,[6.89755812032022782499622363374696043572600847606560999e-96 +/- 5.06e-150],5.705141080571900374050496129236697638842e-151,5.189976143231751716465277278812557089022215891645367408020694188103951620029566787292887505889281921e-6328
[1.338072316973092943287596301463646544386645333742578461e-572 +/- 3.24e-627],1.995460766964013371193801771017027511685e-627,1e-150,[1.006690840074770012864356990142948705017083022496982742e-933 +/- 5.73e-988],1.501273169995963787989252250228790080828e-988,,,,,,7,220,1.2177661000023363,[4.538849079353122787266707618625296375436159984210992174e-96 +/- 9.36e-151],6.768763607992625628878363860912706554157e-151,194,acb_coefficient_enclosure,-100.0,70,[4.538849079353122787266707618625296375436159984210992174e-96 +/- 9.36e-151],6.768763596612100831514767145686013873092e-151,2.530013306018090174790001363447879693550855525791030903812247400745892919553230719471337423500731441e-6326
[1.135052292875464660858507473245745648777697176966855715e-575 +/- 7.17e-630],3.093128712713808646948953987530398167126e-630,1e-150,[4.37923035211492383866571784022274491027929317449093832e-939 +/- 1.33e-993],1.19338317590771112757543974254590490579e-993,,,,,,7,220,1.4470864000031725,[2.995446889967443940374317038489200009737120655508788891e-96 +/- 8.41e-151],8.162886226213817896646429260282244386717e-151,195,acb_coefficient_enclosure,-100.0,70,[2.995446889967443940374317038489200009737120655508788891e-96 +/- 8.41e-151],8.162886214833293099282832545055551705651e-151,1.233365310128153882907217800221995775927694556959151919630824749504282990782714341274761192566430742e-6324
[9.6068796953593101933516918820368545815615724245103578e-579 +/- 1.54e-632],1.417595403939187585879775848827527960477e-632,1e-150,[1.89107259347347889311323262846899489142199880214153846e-944 +/- 3.84e-998],2.790475048121949465022400564230609409141e-998,,,,,,7,220,1.1761346999992384,[1.98259889024952467949125196418559473337327873072808835e-96 +/- 3.62e-150],2.925531643545615756119165109027268890926e-150,196,acb_coefficient_enclosure,-100.0,70,[1.98259889024952467949125196418559473337327873072808835e-96 +/- 3.62e-150],2.9255316389934058371737264229365918185e-150,6.012734345227811766569818278486823682187964380860150541528491444211846773640209685619122058112022031e-6323
[8.1130160207127163825232320235302205183967896249812475e-582 +/- 5.03e-635],1.388320528224820879493161461911171329638e-635,1e-150,[8.1066599466321134840387069741233717362719828512290922e-950 +/- 4.90e-1003],1.387232857319868554114266039118952443041e-1003,,,,,,7,220,1.274459400010528,[1.31600453596510662803875624121816504404324661311624370e-96 +/- 4.43e-150],2.251981381098837711943593321160359537097e-150,197,acb_coefficient_enclosure,-100.0,70,[1.31600453596510662803875624121816504404324661311624370e-96 +/- 4.43e-150],2.251981378822732752470873978115021000884e-150,2.93132215914055623262873393895748768728844633119554225261301670230854514734150678268271983476109388e-6321
[6.8362682146754484944545414049876786815693602590686560e-585 +/- 4.67e-638],1.603287481329316584394936541225190415808e-638,1e-150,[3.4499557565211194465117712907733373425441453964560679e-955 +/- 1.58e-1008],8.091067658066033511843730104701687804065e-1009,,,,,,7,220,1.2193401999975322,[8.7603455554982909238114227872281088068902724013532167e-97 +/- 2.67e-150],2.054534993440237504405399933034280109759e-150,198,acb_coefficient_enclosure,-100.0,70,[8.7603455554982909238114227872281088068902724013532167e-97 +/- 2.67e-150],2.054534991164132544932680589988941573546e-150,1.429111848618777478149348750340608921598687121921655423156799452724984668181230825663074115914382167e-6319
[5.7477237671380570002788361729421003786730296616775654e-588 +/- 5.20e-641],2.985827665407721494986861107025887513418e-641,1e-150,[1.4575962543411668376327938140228205233434335367847885e-960 +/- 2.20e-1013],7.571921304477899762291277303893800466082e-1014,,,,,,7,220,1.1918083999917144,[5.8481504166518083922427512029280626395365663953800808e-97 +/- 4.13e-150],3.037997285393144135356644015751756302801e-150,199,acb_coefficient_enclosure,-100.0,70,[5.8481504166518083922427512029280626395365663953800808e-97 +/- 4.13e-150],3.037997280840934216411205329661079230375e-150,6.967547065458916862766737152976407356355704406702246352548676630039881391009895551785408716010645689e-6318
[4.8218750263378636737698904385394575240999676893092493e-591 +/- 1.95e-644],1.596906167578990139320024132326670386687e-644,1e-150,[6.1140264059618198196539802120165696129163423644455673e-966 +/- 5.39e-1019],2.024840205498362067295052786574568823271e-1019,,,,,,7,220,1.0889440000028117,[3.9150876357742393395391836336151911234057419445312866e-97 +/- 1.65e-150],1.296596762577507909591219676507457387065e-150,200,acb_coefficient_enclosure,-100.0,70,[3.9150876357742393395391836336151911234057419445312866e-97 +/- 1.65e-150],1.296596760301402950118500333462118850852e-150,3.397070141565767670422755064285330180152378475197895721662822363937898281187891968402905880466936007e-6316
