A_ball,A_rad,abs_tol,c_ball,c_rad,cache_A,cache_A_exact_contained,cache_A_radius,cache_A_radius_contains_A_ball,cache_A_radius_overlaps_A_ball,cutoff,dps,elapsed_seconds,full_mu_ball,full_mu_rad,k,kind,lam,n_sum,retained_mu_ball,retained_mu_rad,tail_mu_bound
[0.068526301392931007149618552578857452283874417461615040226714995047730242553066157453630108925714218629644490768 +/- 5.34e-112],1.557482395150544528992148593826832528398e-112,1e-110,[0.068526301392931007149618552578857452283874417461615040226714995047730242553066157453630108925714218629644490768 +/- 5.34e-112],1.557482389341656656718171184599786578468e-112,,,,,,6,160,0.5055366000015056,[0.068526301392931007149618552578857452283874417461615040226714995047730242553066157453630108925714218629644490768 +/- 5.34e-112],1.557482387405360699293512048190771261825e-112,0,acb_coefficient_enclosure,-95.0,50,[0.068526301392931007149618552578857452283874417461615040226714995047730242553066157453630108925714218629644490768 +/- 5.34e-112],1.557482385469064741868852911781755945182e-112,1.5287676757231404989727027841250513884792410398823496141539085860517390053028331309592545824326990134215004839e-3381
[0.00012737252344102866250491333397789582747117188890760524843446709172813921703109181347030818984866615542919611 +/- 7.98e-111],6.520491402045992579338069679383093517549e-111,1e-110,[0.00012737252344102866250491333397789582747117188890760524843446709172813921703109181347030818984866615542919611 +/- 7.98e-111],6.520491383457551388061341969856546477774e-111,,,,,,6,160,0.38518379999732133,[0.0002547450468820573250098266679557916549423437778152104968689341834562784340621836269406163796973323108583922 +/- 3.02e-110],1.304098275452280864860486546669539492903e-110,1,acb_coefficient_enclosure,-95.0,50,[0.0002547450468820573250098266679557916549423437778152104968689341834562784340621836269406163796973323108583922 +/- 3.02e-110],1.304098274213051452108704699367769690252e-110,1.8345212108677685987672433409500616661750892478588195369846903032620868063633997571511054989192388161058005807e-3380
[2.34477887307513548828384859189851433428230577182697342198949859143716080349726431211058770818185311727213e-7 +/- 8.18e-112],6.806856350022228838160925025703612690442e-112,1e-110,[1.17238943653756774414192429594925716714115288591348671099474929571858040174863215605529385409092655863607e-7 +/- 7.72e-112],3.403428159520746759683189421579683812076e-112,,,,,,6,160,0.36712319999787724,[2.8137346476901625859406183102782172011387669261923681063873983097245929641967171745327052498182237407266e-6 +/- 5.06e-110],8.168227567359424563842381520519118615836e-111,2,acb_coefficient_enclosure,-95.0,50,[2.8137346476901625859406183102782172011387669261923681063873983097245929641967171745327052498182237407266e-6 +/- 5.06e-110],8.16822755496713043632456304750142058932e-111,3.9625658154743801733372456164521331989381927753750501998869310550461075017449434754463878776655558427885292543e-3379
[4.27657918426806369474919821083452490466181050946063503174684756619123581208349381990066551375396697119e-10 +/- 1.45e-112],7.278071405670320290636923129782640606651e-113,1e-110,[7.12763197378010615791533035139087484110301751576772505291141261031872635347248969983444252292327828532e-11 +/- 3.35e-113],1.213011896507708479341310000693113333801e-113,,,,,,6,160,0.3327505999986897,[5.13189502112167643369903785300142988559417261135276203809621707942948297450019258388079861650476036543e-8 +/- 2.02e-110],8.733685643431354902451943100177225635174e-111,3,acb_coefficient_enclosure,-95.0,50,[5.13189502112167643369903785300142988559417261135276203809621707942948297450019258388079861650476036543e-8 +/- 2.02e-110],8.733685631039060774934124627159527608658e-111,1.018945495407697758858148872801977108298392427953584337113782271297570500448699750829071168542571502431336094e-3377
[7.730327305725924296889026975860022836797085307016202052175340553038808867087929240544671229818435568e-13 +/- 2.40e-113],1.144695759097066014457862696485838256079e-113,1e-110,[3.2209697107191351237037612399416761819987855445900841884063918970995036946199705168936130124243481534e-14 +/- 6.22e-115],4.769565655340785643217686483759943319692e-115,,,,,,6,160,0.2785061999966274,[1.2986949873619552818773565319444838365819103315787219447654572129105198896707721124115047666094971754e-9 +/- 6.43e-110],1.923088867479798195867833010367876544141e-110,4,acb_coefficient_enclosure,-95.0,50,[1.2986949873619552818773565319444838365819103315787219447654572129105198896707721124115047666094971754e-9 +/- 6.43e-110],1.923088865001339370364269315764336938838e-110,2.8530473871415537248028168438455359032354987982700361439185903596331974012563593023213992719192002068077410631e-3376
[1.385245165399230376330202616904945580429356188613991250942835890552543442268959182741204370206750482e-15 +/- 8.37e-115],7.372327329437299107626026319411670016886e-115,1e-110,[1.15437097116602531360850218075412131702446349051165937578569657546045286855746598561767030850562540e-17 +/- 2.20e-116],6.143606085409811924566779180704005399679e-117,,,,,,6,160,0.2788264999981038,[4.18898138016727265802253271352055543521837311436870954285113573303089136942133256860940201550521346e-11 +/- 4.97e-110],2.229391774069916987764526450963390876503e-110,5,acb_coefficient_enclosure,-95.0,50,[4.18898138016727265802253271352055543521837311436870954285113573303089136942133256860940201550521346e-11 +/- 4.97e-110],2.229391771591458162260962756359851271199e-110,8.4035213948533036985101150673268512058936510058135610057238479683741450727914583086557578554710987909609827678e-3375
[2.4614412608258252254057721176570184358300016071553971487886771971837020829748828849805257116335608e-18 +/- 6.86e-116],2.635460683931577313783837635818350824751e-116,1e-110,[3.4186684178136461463969057189680811608750022321602738177620516627551417819095595624729523772688345e-21 +/- 3.96e-119],3.660362040498349340731472759172307784383e-119,,,,,,6,160,0.2501260999997612,[1.6375476420022050059579520744348612249889834692083426151461311657423733217615300857198441454355754e-12 +/- 6.05e-110],1.753319270927513814736695024306833220511e-110,6,acb_coefficient_enclosure,-95.0,50,[1.6375476420022050059579520744348612249889834692083426151461311657423733217615300857198441454355754e-12 +/- 6.05e-110],1.753319268449054989233131329703293615207e-110,2.5598419018168525112384658205087946750260659986939770448204952272893549606349365309443693159742731701696532123e-3373
[4.337922313009973842022038017727544952483012807128749477674574137475829456941165904369509616624871e-21 +/- 9.21e-118],4.373502107760123250001903129763955824336e-118,1e-110,[8.60698871628963063893261511453877966762502541096974102713209154261077273202612282612997939806522e-25 +/- 2.07e-121],8.677583504092506940883777867024739151723e-122,,,,,,6,160,0.2456945000012638,[7.50342568663811603381309577632783087556853677684919757651908577366779153489592901743326313014531e-14 +/- 5.06e-110],7.564969003879855818152567650181372264209e-111,7,acb_coefficient_enclosure,-95.0,50,[7.50342568663811603381309577632783087556853677684919757651908577366779153489592901743326313014531e-14 +/- 5.06e-110],7.564968991487561690634749177163674237693e-111,7.9867067336685798350640133599874393860813259159252083798399451091427874771810019765464322658397322909293180225e-3372
[7.58384868204574444750122270317093057024764874543913810440215173656281534805276030220802608579460e-24 +/- 7.70e-120],6.556590222970809617432410357053471400253e-120,1e-110,[1.88091485169785328559058102757215539936697637535692909335370826799672999703689491622222869191334e-28 +/- 4.60e-124],1.626138436288518762583171432554391453312e-124,,,,,,6,160,0.24416489999566693,[3.93539862392928643550621848317313421802399749074528484251539753569439763990698149160530536359880e-15 +/- 7.44e-111],3.402335277680012282483008408845482450693e-111,8,acb_coefficient_enclosure,-95.0,50,[3.93539862392928643550621848317313421802399749074528484251539753569439763990698149160530536359880e-15 +/- 7.44e-111],3.402335271483865218724099172336633437434e-111,2.5369539036359018299615101261136572167552447027056544265373943287865324927516123925500431903255620218246069013e-3370
[1.3155022376666357150085373819365838956982465751519624621930069859362992799083600381648794467383e-26 +/- 1.79e-121],9.017048506720038665683511171503364830128e-122,1e-110,[3.6251715103247236414476889934319441570167729694443410003114169585987083330807981651369032372638e-32 +/- 3.44e-127],2.484856835676051840828406727575281625162e-127,,,,,,6,160,0.2315764000013587,[2.3209702756457271512912930955540514565131033849833428003202692995250155424540743479367578075607e-16 +/- 3.04e-111],1.590898200387769475622435898001408204746e-111,9,acb_coefficient_enclosure,-95.0,50,[2.3209702756457271512912930955540514565131033849833428003202692995250155424540743479367578075607e-16 +/- 3.04e-111],1.590898198838732709682708588874195951432e-111,8.1716620475009048417707589325345169297589987266097921528467648906176730819157199170559285919960208281929443346e-3369
