A_ball,A_rad,abs_tol,c_ball,c_rad,cache_A,cache_A_exact_contained,cache_A_radius,cache_A_radius_contains_A_ball,cache_A_radius_overlaps_A_ball,cutoff,dps,elapsed_seconds,full_mu_ball,full_mu_rad,k,kind,lam,n_sum,retained_mu_ball,retained_mu_rad,tail_mu_bound
[0.0985657295010149243572564415967387451629370262771899877277240722848589245904119809560701739637891490846292663 +/- 5.44e-110],1.012825781654263569201057009123678782676e-110,1e-110,[0.0985657295010149243572564415967387451629370262771899877277240722848589245904119809560701739637891490846292663 +/- 5.44e-110],1.012825777936575330945711467218369374721e-110,,,,,,6,160,0.5012186999956612,[0.0985657295010149243572564415967387451629370262771899877277240722848589245904119809560701739637891490846292663 +/- 5.44e-110],1.012825776697345918193929619916599572069e-110,0,acb_coefficient_enclosure,-25.0,50,[0.0985657295010149243572564415967387451629370262771899877277240722848589245904119809560701739637891490846292663 +/- 5.44e-110],1.012825775458116505442147772614829769418e-110,1.5287676757231404989727027841250513884792410398823496141539085860517390053028331e-3381
[0.00037094417853815192681523194180968112580854008112605860628205621761619914955118256302274091348121818717746646 +/- 2.73e-111],1.731159165476218641323349048252914387669e-111,1e-110,[0.00037094417853815192681523194180968112580854008112605860628205621761619914955118256302274091348121818717746646 +/- 2.73e-111],1.731159156181998045684985193489640867782e-111,,,,,,6,160,0.5334864000033122,[0.00074188835707630385363046388361936225161708016225211721256411243523239829910236512604548182696243637435493292 +/- 5.45e-111],3.462318306167849027611061150470432722306e-111,1,acb_coefficient_enclosure,-25.0,50,[0.00074188835707630385363046388361936225161708016225211721256411243523239829910236512604548182696243637435493292 +/- 5.45e-111],3.462318299971701963852151913961583709047e-111,1.8345212108677685987672433409500616661750892478588195369846903032620868063633998e-3380
[1.347666699515866917603476541465168571519529635590076257862100450691082874378889898239889272348438296101971e-6 +/- 4.60e-112],1.154714892351577974302856305620112603939e-112,1e-110,[6.738333497579334588017382707325842857597648177950381289310502253455414371894449491199446361742191480509857e-7 +/- 8.56e-113],5.773574442394930297267690164010409853264e-113,,,,,,6,160,0.5594372999912594,[1.617200039419040301124171849758202285823435562708091509434520540829299449254667877887867126818125955322366e-5 +/- 5.26e-111],1.38565786152767297352506371198086160484e-111,2,acb_coefficient_enclosure,-25.0,50,[1.617200039419040301124171849758202285823435562708091509434520540829299449254667877887867126818125955322366e-5 +/- 5.26e-111],1.385657859978636207585336402853649351525e-111,3.9625658154743801733372456164521331989381927753750501998869310550461075017449435e-3379
[4.74238623780012820574307465877700916394048406057622613669910390736212123302522459082772085047089067360366e-9 +/- 6.22e-114],5.303334164602909396392779632058147711251e-114,1e-110,[7.9039770630002136762384577646283486065674734342937102278318398456035353883753743180462014174514844560061e-10 +/- 1.04e-114],8.838890269295744938194582885698435464994e-115,,,,,,6,160,0.6241819999995641,[5.6908634853601538468916895905324109967285808726914713640389246888345454796302695089932650205650688083244e-7 +/- 1.33e-111],6.364000974287939786575425921561593453783e-112,3,acb_coefficient_enclosure,-25.0,50,[5.6908634853601538468916895905324109967285808726914713640389246888345454796302695089932650205650688083244e-7 +/- 1.33e-111],6.364000966542755956876789375925532187211e-112,1.0189454954076977588581488728019771082983924279535843371137822712975705004486998e-3377
[1.6206569187488702446243623214278742666027471674243556774574312247969470180593865868345718298614166486860e-11 +/- 4.05e-115],1.949952009901608143641754215865593389396e-115,1e-110,[6.752737161453626019268176339282809444178113197601481989405963436653945908580777445144049291089236036192e-13 +/- 5.02e-116],8.124800029438487967741567433401874413154e-117,,,,,,6,160,0.590789500012761,[2.7227036234981020109689286999988287678926152412729175381284844576588709903397694658820806741671799697924e-8 +/- 7.77e-112],3.275919360781278529903750403305383989169e-112,4,acb_coefficient_enclosure,-25.0,50,[2.7227036234981020109689286999988287678926152412729175381284844576588709903397694658820806741671799697924e-8 +/- 7.77e-112],3.275919356908686615054432130487353355883e-112,2.8530473871415537248028168438455359032354987982700361439185903596331974012563593e-3376
[5.39002095767596845107338072955410787715179904761499427037304645314605351247235508171809706518620739525e-14 +/- 9.41e-117],6.122222749204379091196248384172405941354e-117,1e-110,[4.491684131396640375894483941295089897626499206345828558644205377621711260393629234765080887655172829375e-16 +/- 7.85e-119],5.101852286694925887696863622456170595296e-119,,,,,,6,160,0.4886422000126913,[1.629942337601212859604590332617162222050704031998774267360809247431366582171640176711552552512309116324e-9 +/- 4.86e-112],1.851360151304110508047815900922167930787e-112,5,acb_coefficient_enclosure,-25.0,50,[1.629942337601212859604590332617162222050704031998774267360809247431366582171640176711552552512309116324e-9 +/- 4.86e-112],1.851360149367814550623156764513152614143e-112,8.4035213948533036985101150673268512058936510058135610057238479683741450727914583e-3375
[1.74769687527233837887945589158193369394817985060938979333053872333865474999987870508062625826074234511e-16 +/- 5.99e-118],1.699225675553803737220756459053924227417e-118,1e-110,[2.42735677121158108177702207164157457492802757029081915740352600463702048611094264594531424758436436821e-19 +/- 6.66e-121],2.360035652236213544473873680819947984806e-121,,,,,,6,160,0.4654531000123825,[1.16270777718118127670092441555162884790984509101341484170694080186274023207991930491603903709570666736e-10 +/- 3.50e-112],1.130460851125172651384856116172855498961e-112,6,acb_coefficient_enclosure,-25.0,50,[1.16270777718118127670092441555162884790984509101341484170694080186274023207991930491603903709570666736e-10 +/- 3.50e-112],1.130460849188876693960196979763840182318e-112,2.5598419018168525112384658205087946750260659986939770448204952272893549606349365e-3373
[5.5331635481756235559323438993539794576292070169121566208316709104656739474064400192594983278476859494e-19 +/- 5.10e-120],4.26060290738881493975186685552665506355e-120,1e-110,[1.0978499103523062610976872816178530669899220271651104406412045457273162594060396863610115729856519741e-22 +/- 2.29e-123],8.453577170141342577553374356052773140654e-124,,,,,,6,160,0.4306341999908909,[9.570867917858724982155741348341760179286052994949430847437924460617969265699446681633693523631322122e-12 +/- 2.05e-112],7.369684102414937222605019024839722930324e-113,7,acb_coefficient_enclosure,-25.0,50,[9.570867917858724982155741348341760179286052994949430847437924460617969265699446681633693523631322122e-12 +/- 2.05e-112],7.369684092733457435481723342794646347108e-113,7.986706733668579835064013359987439386081325915925208379839945109142787477181002e-3372
[1.712690296336691317507439613489729537808214379833258007117009432321693617538367935940338155115259973e-21 +/- 5.33e-121],9.79725262897339054602020352309564013295e-122,1e-110,[4.247743790517587593024403803297940321944976140459469263683059107940708376831269682391711694234275726e-26 +/- 6.34e-126],2.429874150846305841352152476974427893797e-126,,,,,,6,160,0.5388376000046264,[8.88746508270561719774852552328708868192178112840066511840347147405281537303221827929462770911362521e-13 +/- 5.04e-112],5.083974617989374510914025889770214477659e-113,8,acb_coefficient_enclosure,-25.0,50,[8.88746508270561719774852552328708868192178112840066511840347147405281537303221827929462770911362521e-13 +/- 5.04e-112],5.083974613148634617352378048747676186051e-113,2.5369539036359018299615101261136572167552447027056544265373943287865324927516124e-3370
[5.18892824946322871572418641297573252944749721881041237460235112278323550212621129186184311584561679e-24 +/- 4.43e-123],2.089284907465102237773189149493030970999e-123,1e-110,[1.429929522008164879774081352782113241139632170086643621748884237980388972146773393921363292505957007e-29 +/- 7.60e-129],5.757509090555886013072838627275832375662e-129,,,,,,6,160,0.4807493999833241,[9.15494317274928231359200882605856163423008367868446691541409911496779238619420254955859421246711518e-14 +/- 8.10e-113],3.686172470478335307471840464798850408124e-113,9,acb_coefficient_enclosure,-25.0,50,[9.15494317274928231359200882605856163423008367868446691541409911496779238619420254955859421246711518e-14 +/- 8.10e-113],3.686172465637595413910192623776312116516e-113,8.1716620475009048417707589325345169297589987266097921528467648906176730819157199e-3369
[1.54031134636282640333073672347719207031870103951542576331575707000955196347173035508682207540673079e-26 +/- 5.94e-125],4.167824144119160145904028980165156009693e-125,1e-110,[4.2446851476047905735525152212224208287001241168304281396488014495413138323184809167956957545379486e-33 +/- 2.20e-131],1.14854060375012269703420919335236196919e-131,,,,,,6,160,0.48081450001336634,[1.03269030196852525612882961820749081374422844088675651404482002879699373896527851933226655961152420e-14 +/- 4.33e-113],2.79428672791562911689005781240290341519e-113,10,acb_coefficient_enclosure,-25.0,50,[1.03269030196852525612882961820749081374422844088675651404482002879699373896527851933226655961152420e-14 +/- 4.33e-113],2.794286723074889223328409971380365123582e-113,2.6616270669002947198910471951683855142643595852386180154986605643726135181096916e-3367
[4.4839733798527654646357341338511349527524598828348900227061489353836313020486726565712098498103779e-29 +/- 9.37e-127],7.831497840895107942693012197598643441683e-127,1e-110,[1.1233298710950691099075412191987170696930765699742689851656818520982722317542169353683686692847067e-36 +/- 5.87e-134],1.961955317439015823798958910153338074739e-134,,,,,,6,160,0.5029376999882516,[1.2626235926451839005882549831566924857678135710581762942598275824598047445638929228125773584085400e-15 +/- 5.88e-113],2.205239200347576033942538998140780139042e-113,11,acb_coefficient_enclosure,-25.0,50,[1.2626235926451839005882549831566924857678135710581762942598275824598047445638929228125773584085400e-15 +/- 5.88e-113],2.205239197927206087161715077629510993238e-113,8.7486524459853165575549203458578236903645906366973705205086408115899818247431603e-3366
[1.281131579926758693630591548358591785032456192153524558810578146443424303335841815529899553812088e-31 +/- 4.35e-128],1.393996798491194507355810158739693862062e-128,1e-110,[2.674587266361445752228367396598658094320470311901932183129614069020697015074358447925642740675788e-40 +/- 6.50e-137],2.910213227801577813930830173820176248094e-137,,,,,,6,160,0.6578663999971468,[1.659443394710032972724594208543151833936945818595392743503705314129694169090262818685854862418229e-16 +/- 5.97e-113],1.805637138689439652612175076901585945438e-113,12,acb_coefficient_enclosure,-25.0,50,[1.659443394710032972724594208543151833936945818595392743503705314129694169090262818685854862418229e-16 +/- 5.97e-113],1.805637136269069705831351156390316799634e-113,2.8975536901103368438621896185481112062487524188741691163924618367986019803549347e-3364
[3.59517597004791081961464329342723849012130209456582708116587810563901137422386543528012342075757e-34 +/- 3.58e-130],2.361592271422627933482864655047250321445e-130,1e-110,[5.77350885040870719367862605088333491694985520935762263900881478609965679611005223441701595208670e-44 +/- 8.26e-140],3.792491364413996345497904720252175243989e-140,,,,,,6,160,0.6111071000050288,[2.32840682010871672881570661695683591741696531291427277901003570553147146867448613944013110852716e-17 +/- 2.83e-113],1.529479380468025760958411350408895692692e-113,13,acb_coefficient_enclosure,-25.0,50,[2.32840682010871672881570661695683591741696531291427277901003570553147146867448613944013110852716e-17 +/- 2.83e-113],1.529479378047655814177587429897626546888e-113,9.658512300367789479540632061827037354162508062913897054641539455995339934516449e-3363
[9.9159324903025838532547593306471828231119682889580832517610715067092286717665468116756200073924e-37 +/- 6.89e-132],3.822952226972917724373919024404179155518e-132,1e-110,[1.13743138960523509931504132655529531910714582679937677555224568415367479372738001220143438730219e-47 +/- 6.78e-143],4.385211221164302869236833012939477766725e-143,,,,,,6,160,0.5788662999984808,[3.4678957348614148955184711476707832344707993822312355633803214581337343894262114022027906347326e-18 +/- 2.46e-113],1.33699978477985360731015802009890052375e-113,14,acb_coefficient_enclosure,-25.0,50,[3.4678957348614148955184711476707832344707993822312355633803214581337343894262114022027906347326e-18 +/- 2.46e-113],1.336999782359483660529334099587631377946e-113,3.2372668813646521979701704703778897614641233921214854955557159831818863504655132e-3361
[2.6896818864018426723233605175008331027036254787041460788094511795896817760935439145261635337512e-39 +/- 6.99e-134],5.933558298833851199552474286079235108092e-134,1e-110,[2.0568437771824878900764387526029974938712154054426996911278842009004506052179069051892309735563e-51 +/- 8.27e-146],4.537489164364876536435138023808535764343e-146,,,,,,6,160,0.5646729000145569,[5.455836940845640024150013436361568205209494790990405884114958298130323474112051358169379375396e-19 +/- 2.64e-113],1.203581973030263955031795421846028298186e-113,15,acb_coefficient_enclosure,-25.0,50,[5.455836940845640024150013436361568205209494790990405884114958298130323474112051358169379375396e-19 +/- 2.64e-113],1.203581971820078981641383461590393725284e-113,1.0902279432724828692518896680885538422479176843144615668903766085296417257696761e-3359
[7.17906706484840641227038313092155681857012466882031581193944564505933873543620918089544822472e-42 +/- 1.06e-135],8.855689186498275466016162126947715836826e-136,1e-110,[3.431218830413179749401488197424064682444190814033526565584677368366133417740608905213056176115e-55 +/- 7.50e-149],4.232556564449007662881726053492672401553e-149,,,,,,6,160,0.5111642999981996,[9.02859482549269035422998839883170157875510118658761655124621180160413110170130713332074879974e-20 +/- 1.78e-113],1.113716146829926774577617568648431094341e-113,16,acb_coefficient_enclosure,-25.0,50,[9.02859482549269035422998839883170157875510118658761655124621180160413110170130713332074879974e-20 +/- 1.78e-113],1.113716145619741801187205608392796521439e-113,3.6869526808851238851063905138994729937838670778634518443929099852093338362392682e-3358
[1.88652286696161314624645202646316564443671560501263333148705751745990819086801095424335126999e-44 +/- 3.18e-137],1.27415854396644976372556161812457489201e-137,1e-110,[5.30387839980793704034118987919475021769400177988300773064795749631528801524506878207633660561e-59 +/- 6.12e-152],3.582242267355198617531375196764622533243e-152,,,,,,6,160,0.5007786999922246,[1.56587886574099386202034094964549739375585134088072071919221303345426188740845801472046638704e-20 +/- 2.40e-113],1.057595408872001454922078291233930335383e-113,17,acb_coefficient_enclosure,-25.0,50,[1.56587886574099386202034094964549739375585134088072071919221303345426188740845801472046638704e-20 +/- 2.40e-113],1.057595407661816481531666330978295762481e-113,1.2514570813975791930018262658607354047472097395719373688967934464081967421292145e-3356
[4.8830815182255202703517628325946492332414755085507417066065660089140814526330816012915173122e-47 +/- 3.33e-139],1.77127335222804584342409575836896462752e-139,1e-110,[7.6269860877642656805246957871111201871646852874939336545288520281156893589769912001067615794e-63 +/- 5.53e-155],2.766588497727324787079322160666073791609e-155,,,,,,6,160,0.5249912999861408,[2.8371879281677226907825225612712177953590230854237956292277683380261035679944905862497344205e-21 +/- 4.46e-113],1.029152455646106070428429316979706441087e-113,18,acb_coefficient_enclosure,-25.0,50,[2.8371879281677226907825225612712177953590230854237956292277683380261035679944905862497344205e-21 +/- 4.46e-113],1.029152454435921097038017356724071868185e-113,4.2617187096241886031954083648230448918418493834071380670539452499306159326562438e-3355
[1.2455467883601584063942717221453988205913642678434203264984561584357697672478491975955305454e-49 +/- 3.87e-141],2.383759385506116412770367822411699420777e-141,1e-110,[1.0239185829713252611580271054467573661834937802904671332107364525062264848625989332920685457e-66 +/- 4.20e-158],1.959601641648487758622509036558836166958e-158,,,,,,6,160,0.546049700002186,[5.355325773383557232152313551949170955660403287417849673521293442912332395520584385041649249e-22 +/- 2.58e-113],1.024915975631977935964105940097963337188e-113,19,acb_coefficient_enclosure,-25.0,50,[5.355325773383557232152313551949170955660403287417849673521293442912332395520584385041649249e-22 +/- 2.58e-113],1.024915974421792962573693979842328764286e-113,1.455540851594722876783662549216486101521370097102130232132270531514764210845671e-3353
[3.132157916605137677614840866109208361926471814239029806142169326664717232370006568705004097e-52 +/- 5.66e-143],3.111087086715045553479616441354186787537e-143,1e-110,[1.287416388361881136140933376311009189785211912635064903072048211399261024535453094718750243e-70 +/- 3.95e-161],1.278755603993117391968242995150377133612e-161,,,,,,6,160,0.45891499999561347,[1.050422707168269759441111101724221390069271317971662539362174814335305957118915764017966023e-22 +/- 1.83e-113],1.043356236934372848071570946218093415411e-113,20,acb_coefficient_enclosure,-25.0,50,[1.050422707168269759441111101724221390069271317971662539362174814335305957118915764017966023e-22 +/- 1.83e-113],1.043356235724187874681158985962458842509e-113,4.9843398918024168756201517539023085037463502837350996241797751859676315903105416e-3352
[7.76813043127491022796421799934975741761585631397970515450952867785676472774898930927693800e-55 +/- 5.57e-145],3.943772950529310275254061432134256402569e-145,1e-110,[1.52045159104079958116484653501685735139652732908342394476666427368070046889662118132003006e-74 +/- 4.43e-164],7.719123515058901578591585889942657253918e-165,,,,,,6,160,0.4558701000059955,[2.13624378715942324771020430939728579967292643476928400347439057838639476109251011665540082e-23 +/- 4.55e-113],1.084541573857998269752572130001890159238e-113,21,acb_coefficient_enclosure,-25.0,50,[2.13624378715942324771020430939728579967292643476928400347439057838639476109251011665540082e-23 +/- 4.55e-113],1.084541572647813296362160169746255586336e-113,1.7109036465814807693989172066883272910533983764634900105324065522065637737903161e-3350
[1.90081502956157345526757222443781233544572843800763869072198695663073627264542277445773619e-57 +/- 7.07e-147],4.862610141281993135305179337201579193589e-147,1e-110,[1.69111547936440887261714944284958209727045160032145467575283279331315211045167148576257831e-78 +/- 5.93e-168],4.326162807368139757110654252236804323847e-168,,,,,,6,160,0.4709693999902811,[4.4954442084791496097159292318068853208077358626368374199684620788529361127063017108296928e-24 +/- 5.79e-113],1.150011557101932068513883584129038870082e-113,22,acb_coefficient_enclosure,-25.0,50,[4.4954442084791496097159292318068853208077358626368374199684620788529361127063017108296928e-24 +/- 5.79e-113],1.15001155589174709512347162387340429718e-113,5.8855085442402938467322751910078458812236904150344056362314785395905793818386875e-3349
[4.5905575583657428475380100154300284336558024510248412203566664318359960649880597666132282e-60 +/- 9.20e-149],5.838935447842082253792113712153742267802e-149,1e-110,[1.7757057813833591809019383590371453347652639910145246823058760497471189209284550910307628e-82 +/- 6.56e-171],2.258599589379872803903483579434890228207e-171,,,,,,6,160,0.5493193000147585,[9.771037981946512945933823809660318717642953119040177369844647378337631112089276886358520e-25 +/- 3.66e-113],1.242822010220262692911403288391959475322e-113,23,acb_coefficient_enclosure,-25.0,50,[9.771037981946512945933823809660318717642953119040177369844647378337631112089276886358520e-25 +/- 3.66e-113],1.24282200901007771952099132813632490242e-113,2.0286220939721863897247416615814277292728464834799440703606372838588805528890795e-3347
[1.0945519218125256622820593533067246158820134116914523094339192092487517407225962242130953e-62 +/- 7.27e-151],6.836021712908308670013583548789314611673e-151,1e-110,[1.764130455900708551974368954543056196163963619329584576625024060981528965697164354670818e-86 +/- 2.34e-174],1.101787298055109537700868538042420472722e-174,,,,,,6,160,0.5457163999963086,[2.189976657377357642244656160777249806675462624223729087570817946265078953691972037722063e-25 +/- 4.48e-113],1.367749447379828988233011054299841433524e-113,24,acb_coefficient_enclosure,-25.0,50,[2.189976657377357642244656160777249806675462624223729087570817946265078953691972037722063e-25 +/- 4.48e-113],1.36774944495945904145218713378857228772e-113,7.0049562918386517783964548803995422814890943878531946266330577230392365214047399e-3346
[2.57743609952270236559194578271942951701016266873567040031516750949383614609255933485547e-65 +/- 3.48e-152],7.811519012128199744819607187074187331499e-153,1e-110,[1.661660239480069389095917577089836847389898450492145181561800422442275755809770064649922e-90 +/- 7.08e-178],5.036047465542338991080739421566909841001e-178,,,,,,6,160,0.4497045000025537,[5.05378893931282021126995201884524813623002242048501341487210857247215315933757983068936e-26 +/- 6.04e-113],1.531668164577558702084560260300290847148e-113,25,acb_coefficient_enclosure,-25.0,50,[5.05378893931282021126995201884524813623002242048501341487210857247215315933757983068936e-26 +/- 6.04e-113],1.531668162157188755303736339789021701344e-113,2.4228907644712513209983032174558416832444632353280461414471987889100418085799924e-3344
[5.9958135773079422358132448144515560489463622477912468871787521990229696201971443110066e-68 +/- 2.68e-154],8.720693714466614809446410056376109944331e-155,1e-110,[1.48671969412852788314040731899825237896672710398597348563611513443961738351654577826723e-94 +/- 5.15e-181],2.162379946622015954301291851138252626051e-181,,,,,,6,160,0.48442930000601336,[1.19916097519110905353922037054665972593809338464723601165154009853123486384020149434434e-26 +/- 6.34e-113],1.744136201523104334737737947994453020446e-113,26,acb_coefficient_enclosure,-25.0,50,[1.19916097519110905353922037054665972593809338464723601165154009853123486384020149434434e-26 +/- 6.34e-113],1.744136199102734387956914027483183874642e-113,8.3932593274890894817978956740545760951638386793628164447114282574317674727412566e-3343
