cutoff,d,det_sign,dps,expected,kind,lam,log10_abs_det,m,n,n_sum,near_zero,ok,positive_root_count,rational_digits,shift,sigma,signed_sign
6.0,,1,50,,hankel,0.0,-0.90559807557592584972,0,,30,False,True,,,0,1,1
6.0,,-1,50,,hankel,0.0,-7.4450932037106750633,1,,30,False,True,,,0,-1,1
6.0,,1,50,,hankel,0.0,-3.1439522234556131314,0,,30,False,True,,,1,1,1
6.0,,-1,50,,hankel,0.0,-12.056162202475476985,1,,30,False,True,,,1,-1,1
6.0,2,,50,2,jensen,0.0,,,0,30,,True,2,35,,,
6.0,2,,50,2,jensen,0.0,,,1,30,,True,2,35,,,
6.0,3,,50,3,jensen,0.0,,,0,30,,True,3,35,,,
6.0,3,,50,3,jensen,0.0,,,1,30,,True,3,35,,,
