A_tail_bound,c_tail_bound,cutoff,cutoff_monotone_gate,dps,k,kind,lam,log10_A_tail_bound,log10_c_tail_bound,log10_mu_cutoff_tail_bound,log10_mu_series_tail_bound,log10_mu_total_tail_bound,mu_cutoff_tail_bound,mu_series_tail_bound,mu_total_tail_bound,n_sum
1.40714297718417458570703426107564022035725959757312568663614e-19604,1.40714297718417458570703426107564022035725959757312568663614e-19604,9.0,True,140,0,coefficient_tail_bound,0.0,-19603.8516617724676139518706168,-19603.8516617724676139518706168,-5882142378820930.66883673869164,-19603.8516617724676139518706168,-19603.8516617724676139518706168,2.14369631453477278247916275848119201044935931417060751005539e-5882142378820931,1.40714297718417458570703426107564022035725959757312568663614e-19604,1.40714297718417458570703426107564022035725959757312568663614e-19604,120
1.89964301919863569070449625245211429748230045672371967695879e-19603,1.89964301919863569070449625245211429748230045672371967695879e-19603,9.0,True,140,1,coefficient_tail_bound,0.0,-19602.721328003972607835199272,-19602.721328003972607835199272,-5882142378820928.76035171981299,-19602.4202980083086266399855331,-19602.4202980083086266399855331,1.73639401477316596093049220802657610833983848722549489281598e-5882142378820929,3.79928603839727138140899250490422859496460091344743935391758e-19603,3.79928603839727138140899250490422859496460091344743935391758e-19603,120
1.53871084555089490947064196448621258096066336994621293833662e-19602,7.6935542277544745473532098224310629048033168497310646916831e-19603,9.0,True,140,2,coefficient_tail_bound,0.0,-19601.8128429850939580860191604,-19602.1138729807579392812328993,-5882142378820926.85186670093434,-19600.7336617390463332582966547,-19600.7336617390463332582966547,1.40647915196626443412281869116354326478246194410407781694003e-5882142378820927,1.84645301466107389136477035738345509715279604393545552600394e-19601,1.84645301466107389136477035738345509715279604393545552600394e-19601,120
8.9025413206873205476515713659559442184152666404030891432333e-19602,1.48375688678122009127526189432599070306921110673384819053888e-19602,9.0,True,140,3,coefficient_tail_bound,0.0,-19601.0504860018935463627650039,-19601.8286372522771899952737707,-5882142378820924.94338168205569,-19598.9713047558459215350424982,-19598.9713047558459215350424982,1.13924811309267419631247034199870354260129639304910979512123e-5882142378820925,1.068304958482478465718188563914713306209831996848370697188e-19599,1.068304958482478465718188563914713306209831996848370697188e-19599,120
4.00614359430929424644320711468017489828686998818139011445499e-19601,1.66922649762887260268466963111673954095286249507557921435624e-19602,9.0,True,140,4,coefficient_tail_bound,0.0,-19600.397273488118202683388687,-19601.7774847298298087063249316,-5882142378820923.03489666317704,-19597.1719642063923398297402262,-19597.1719642063923398297402262,9.22790971605066102798220610765499034042062496018885048500156e-5882142378820924,6.73032123843961433402458795266269382912194158014473539228438e-19598,6.73032123843961433402458795266269382912194158014473539228438e-19598,120
1.47498923245024015437227171040497348527834758655769363304934e-19600,1.22915769370853346197689309200414457106528965546474469420778e-19602,9.0,True,140,5,coefficient_tail_bound,0.0,-19599.8312111500617591701725143,-19601.9103923961093839978950199,-5882142378820921.12641164429839,-19595.3506293632325902467202587,-19595.3506293632325902467202587,7.47460687000103546332505598054759065999336532923943386736226e-5882142378820922,4.46036743892952622682174965226463981948172310175046554634119e-19596,4.46036743892952622682174965226463981948172310175046554634119e-19596,120
4.59515876263344048092900032856934047336715978889127631834601e-19600,6.38216494810200066795694490079075065745438859568232821992501e-19603,9.0,True,140,6,coefficient_tail_bound,0.0,-19599.3376994791539273854126467,-19602.1950319755851958456439192,-5882142378820919.21792662541974,-19593.5146950115025522259964523,-19593.5146950115025522259964523,6.05443156470083875012746526125465791056971720509623198134682e-5882142378820920,3.05706722160477528315244533859061083012170406435358830906923e-19594,3.05706722160477528315244533859061083012170406435358830906923e-19594,120
1.24069286591102892985083008871372192780913314300064460595342e-19599,2.46169219426791454335482160459071811073240702976318374197108e-19603,9.0,True,140,7,coefficient_tail_bound,0.0,-19598.906335714994940073527563,-19602.6087662514404653644710517,-5882142378820917.30944160654109,-19591.6683578993727469496911245,-19591.6683578993727469496911245,4.90408956740767940771892449439527174812294918030959095480919e-5882142378820918,2.1460611895665522487730166276906088027454362531762189929666e-19592,2.1460611895665522487730166276906088027454362531762189929666e-19592,120
2.95576829819980421523285991722974929860411131126624156124198e-19599,7.33077454910665727984340257249441790328400622833889276101681e-19604,9.0,True,140,8,coefficient_tail_bound,0.0,-19598.5293296131585454481013602,-19603.1348501365960143246860656,-5882142378820915.40095658766244,-19589.8142305428166898869698938,-19589.8142305428166898869698938,3.97231254960022033654602772301115931050192619729772823004559e-5882142378820916,1.53380255607256528368189129567299393843276767506418004497319e-19590,1.53380255607256528368189129567299393843276767506418004497319e-19590,120
6.30045347774168793247004350777920245228771095296225174896316e-19599,1.73623607741999777680501639874867792446200147513289565392503e-19604,9.0,True,140,9,coefficient_tail_bound,0.0,-19598.2006281908967058556713209,-19603.7603912237734996068460822,-5882142378820913.49247156878379,-19587.9540502035125951707859458,-19587.9540502035125951707859458,3.21757316517617848580017855050534039734036086902365967537867e-5882142378820914,1.11160322090101178717366542849563823853785320450703995890952e-19588,1.11160322090101178717366542849563823853785320450703995890952e-19588,120
