A_ball,A_rad,abs_tol,c_ball,c_rad,cache_A,cache_A_exact_contained,cache_A_radius,cache_A_radius_contains_A_ball,cache_A_radius_overlaps_A_ball,cutoff,dps,elapsed_seconds,full_mu_ball,full_mu_rad,k,kind,lam,n_sum,retained_mu_ball,retained_mu_rad,tail_mu_bound
[1.176168071045738107620177157669743915196866548487e-2234 +/- 5.74e-2283],1.198389539500711773174395195030075289515e-2283,1e-150,[5.666197470785590345776065367032962391860251191749e-3944 +/- 7.39e-3993],5.773249525623664522905816419589256207217e-3993,,,,,,7,220,0.9173296000008122,[2.348007642792076028666556101406101693996795027227e-101 +/- 6.78e-150],2.392368785464323997977663403305028934029e-150,707,acb_coefficient_enclosure,-100.0,70,[2.348007642792076028666556101406101693996795027227e-101 +/- 6.78e-150],2.392368783188219038504944060259690397816e-150,8.1828581237625276414550172369435020516736826995311247284523061422968037681064519e-5460
[5.111973799079801570685105041206673633763277341553e-2238 +/- 3.29e-2287],2.24646925185979891064834912943158647508e-2287,1e-150,[3.478385258232629584304144494856740733701788228062e-3950 +/- 2.05e-3999],1.528584813370780245757132512779572604488e-3999,,,,,,7,220,0.87974600000598,[2.888053109304056060286749067113864746130230205285e-101 +/- 2.02e-150],1.269161918089110163752808818178973315701e-150,708,acb_coefficient_enclosure,-100.0,70,[2.888053109304056060286749067113864746130230205285e-101 +/- 2.02e-150],1.269161915813005204280089475133634779488e-150,4.0039411997958705294303713487895392713676414253492627596841259447858072636673313e-5458
[2.219967394741627562812613217236451606567876048108e-2241 +/- 1.04e-2290],9.987847424081410131031772716659447054163e-2291,1e-150,[2.130538680379471799762888720446869939620850369482e-3956 +/- 4.03e-4005],9.585498993826382187372583585923711067427e-4006,,,,,,7,220,0.8835038999968674,[3.554372973067800737355334657698799063032831565291e-101 +/- 3.62e-150],1.599146675965702958306547590774518235493e-150,709,acb_coefficient_enclosure,-100.0,70,[3.554372973067800737355334657698799063032831565291e-101 +/- 3.62e-150],1.59914667368959799883382824772917969928e-150,1.9591659571911675720221210279105291066164161175917925383590409917146790397337126e-5456
[9.632604864974936684950205076653737834264093016096e-2245 +/- 7.93e-2294],4.756165263111063648715291340493200139029e-2294,1e-150,[1.3020516862793594800954901390015084746876809780234e-3962 +/- 8.80e-4012],6.428970237992387140699788517844126840859e-4012,,,,,,7,220,0.8853139999991981,[4.376959607763963993032674564249707544856786203555e-101 +/- 2.31e-150],2.161154063657097255757101197839598992547e-150,710,acb_coefficient_enclosure,-100.0,70,[4.376959607763963993032674564249707544856786203555e-101 +/- 2.31e-150],2.161154061380992296284381854794260456334e-150,9.5864017008767820162047922020863475940989464512508745239016523008383777840763384e-5455
[4.176192387575654147004296483527605672329066908582e-2248 +/- 2.70e-2297],2.402716353044245609392567412431343950662e-2297,1e-150,[7.939540627266065895974429759553429086601071312590e-3969 +/- 4.68e-4018],4.567908344705651948231026673374204417352e-4018,,,,,,7,220,0.8866534000044339,[5.393036556554245388366884462638173217860502573417e-101 +/- 6.54e-150],3.102811331564394965188495049561564145557e-150,711,acb_coefficient_enclosure,-100.0,70,[5.393036556554245388366884462638173217860502573417e-101 +/- 6.54e-150],3.102811327012185046243056363470887073131e-150,4.6907348139869954673669956165781468491181696588485392988387079975760745377895388e-5453
[1.809077945148738338086946652689179863973548609440e-2251 +/- 4.21e-2300],1.270681845344147114089006437466802840761e-2300,1e-150,[4.830500856154683729813711731641282641999406480490e-3975 +/- 7.98e-4024],3.39290507082497163938675167689417950623e-4024,,,,,,7,220,0.8815030999976443,[6.648827132675454148388413268927687347013889055074e-101 +/- 5.82e-150],4.670082853270877296271603242913628044958e-150,712,acb_coefficient_enclosure,-100.0,70,[6.648827132675454148388413268927687347013889055074e-101 +/- 5.82e-150],4.670082848718667377326164556822950972532e-150,2.2952341499990963716006912516290838270067551986142603487026427547156978897996573e-5451
[7.830229975249327018300495783234678810585841733231e-2255 +/- 2.13e-2304],1.871517256618324064166612896236753682648e-2304,1e-150,[2.932377456162656581344906968766028203498064793886e-3981 +/- 4.13e-4030],7.008727719961690013565517965784748907893e-4031,,,,,,7,220,0.889675400001579,[8.201761572202518097970087794002264322289541083253e-101 +/- 6.56e-150],1.960317672585117893702008199041746277824e-150,713,acb_coefficient_enclosure,-100.0,70,[8.201761572202518097970087794002264322289541083253e-101 +/- 6.56e-150],1.960317670309012934229288855996407741611e-150,1.1230884689816881860337650080238316623738379939960807908070219365663882631763215e-5449
[3.386356203030720125104316398344940637381986174540e-2258 +/- 4.23e-2307],1.018588467507358728046802779752508004463e-2307,1e-150,[1.776150577260510704485949121487829519574428829759e-3987 +/- 5.02e-4036],5.342516792480947051430755028887002889534e-4037,,,,,,7,220,0.9139540999967721,[1.0123232931383876780156985384205082746164563479108e-100 +/- 5.28e-150],3.044986302386120905262276404442406249851e-150,714,acb_coefficient_enclosure,-100.0,70,[1.0123232931383876780156985384205082746164563479108e-100 +/- 5.28e-150],3.044986297833910986316837718351729177425e-150,5.4954314217359400302336564489888300439584236566961481550454440077348891900684343e-5448
[1.4632956011570730262131410441805826225884097353201e-2261 +/- 7.33e-2311],3.099542576667289696895560632595072382654e-2311,1e-150,[1.0734286140595808478521226520515222487694918408988e-3993 +/- 6.01e-4043],2.273729026884476253846680427200590182345e-4043,,,,,,7,220,0.9613496999954805,[1.2502039962926420404932861007946405031615934328627e-100 +/- 6.09e-150],2.648173404925109304148096580601098063208e-150,715,acb_coefficient_enclosure,-100.0,70,[1.2502039962926420404932861007946405031615934328627e-100 +/- 6.09e-150],2.648173400372899385202657894510420990782e-150,2.6889979285910010961355056479010962159889083358876379452441441989210669180837305e-5446
[6.3179069687886224339203925311976582405969997379681e-2265 +/- 5.26e-2315],4.419723749564919257504223903878556367568e-2315,1e-150,[6.4729358836504752348364347559310151707394957097836e-4000 +/- 5.09e-4050],4.528175007500764767205074052011248201834e-4050,,,,,,7,220,0.928917499993986,[1.5448690471889656094177754537049217210464677520787e-100 +/- 1.92e-150],1.080720945392926168977172669584767175223e-150,716,acb_coefficient_enclosure,-100.0,70,[1.5448690471889656094177754537049217210464677520787e-100 +/- 1.92e-150],1.080720944254873689240812998062097907116e-150,1.3157700331812449815765912109223793828955077711382085490758837898405184314662463e-5444
