A_ball,A_rad,abs_tol,c_ball,c_rad,cache_A,cache_A_exact_contained,cache_A_radius,cache_A_radius_contains_A_ball,cache_A_radius_overlaps_A_ball,cutoff,dps,elapsed_seconds,full_mu_ball,full_mu_rad,k,kind,lam,n_sum,retained_mu_ball,retained_mu_rad,tail_mu_bound
[0.0985657295010149243572564415967387451629370262771899877277240722848589245904119809560701739637891490846292663 +/- 5.44e-110],1.012825781654263569201057009123678782676e-110,1e-110,[0.0985657295010149243572564415967387451629370262771899877277240722848589245904119809560701739637891490846292663 +/- 5.44e-110],1.012825777936575330945711467218369374721e-110,,,,,,6,160,0.2769259000197053,[0.0985657295010149243572564415967387451629370262771899877277240722848589245904119809560701739637891490846292663 +/- 5.44e-110],1.012825776697345918193929619916599572069e-110,0,acb_coefficient_enclosure,-25.0,50,[0.0985657295010149243572564415967387451629370262771899877277240722848589245904119809560701739637891490846292663 +/- 5.44e-110],1.012825775458116505442147772614829769418e-110,1.5287676757231404989727027841250513884792410398823496141539085860517390053028331e-3381
[0.00037094417853815192681523194180968112580854008112605860628205621761619914955118256302274091348121818717746646 +/- 2.73e-111],1.731159165476218641323349048252914387669e-111,1e-110,[0.00037094417853815192681523194180968112580854008112605860628205621761619914955118256302274091348121818717746646 +/- 2.73e-111],1.731159156181998045684985193489640867782e-111,,,,,,6,160,0.2604694000328891,[0.00074188835707630385363046388361936225161708016225211721256411243523239829910236512604548182696243637435493292 +/- 5.45e-111],3.462318306167849027611061150470432722306e-111,1,acb_coefficient_enclosure,-25.0,50,[0.00074188835707630385363046388361936225161708016225211721256411243523239829910236512604548182696243637435493292 +/- 5.45e-111],3.462318299971701963852151913961583709047e-111,1.8345212108677685987672433409500616661750892478588195369846903032620868063633998e-3380
[1.347666699515866917603476541465168571519529635590076257862100450691082874378889898239889272348438296101971e-6 +/- 4.60e-112],1.154714892351577974302856305620112603939e-112,1e-110,[6.738333497579334588017382707325842857597648177950381289310502253455414371894449491199446361742191480509857e-7 +/- 8.56e-113],5.773574442394930297267690164010409853264e-113,,,,,,6,160,0.2698657999862917,[1.617200039419040301124171849758202285823435562708091509434520540829299449254667877887867126818125955322366e-5 +/- 5.26e-111],1.38565786152767297352506371198086160484e-111,2,acb_coefficient_enclosure,-25.0,50,[1.617200039419040301124171849758202285823435562708091509434520540829299449254667877887867126818125955322366e-5 +/- 5.26e-111],1.385657859978636207585336402853649351525e-111,3.9625658154743801733372456164521331989381927753750501998869310550461075017449435e-3379
[4.74238623780012820574307465877700916394048406057622613669910390736212123302522459082772085047089067360366e-9 +/- 6.22e-114],5.303334164602909396392779632058147711251e-114,1e-110,[7.9039770630002136762384577646283486065674734342937102278318398456035353883753743180462014174514844560061e-10 +/- 1.04e-114],8.838890269295744938194582885698435464994e-115,,,,,,6,160,0.25249570002779365,[5.6908634853601538468916895905324109967285808726914713640389246888345454796302695089932650205650688083244e-7 +/- 1.33e-111],6.364000974287939786575425921561593453783e-112,3,acb_coefficient_enclosure,-25.0,50,[5.6908634853601538468916895905324109967285808726914713640389246888345454796302695089932650205650688083244e-7 +/- 1.33e-111],6.364000966542755956876789375925532187211e-112,1.0189454954076977588581488728019771082983924279535843371137822712975705004486998e-3377
[1.6206569187488702446243623214278742666027471674243556774574312247969470180593865868345718298614166486860e-11 +/- 4.05e-115],1.949952009901608143641754215865593389396e-115,1e-110,[6.752737161453626019268176339282809444178113197601481989405963436653945908580777445144049291089236036192e-13 +/- 5.02e-116],8.124800029438487967741567433401874413154e-117,,,,,,6,160,0.24297640001168475,[2.7227036234981020109689286999988287678926152412729175381284844576588709903397694658820806741671799697924e-8 +/- 7.77e-112],3.275919360781278529903750403305383989169e-112,4,acb_coefficient_enclosure,-25.0,50,[2.7227036234981020109689286999988287678926152412729175381284844576588709903397694658820806741671799697924e-8 +/- 7.77e-112],3.275919356908686615054432130487353355883e-112,2.8530473871415537248028168438455359032354987982700361439185903596331974012563593e-3376
[5.39002095767596845107338072955410787715179904761499427037304645314605351247235508171809706518620739525e-14 +/- 9.41e-117],6.122222749204379091196248384172405941354e-117,1e-110,[4.491684131396640375894483941295089897626499206345828558644205377621711260393629234765080887655172829375e-16 +/- 7.85e-119],5.101852286694925887696863622456170595296e-119,,,,,,6,160,0.24919509998289868,[1.629942337601212859604590332617162222050704031998774267360809247431366582171640176711552552512309116324e-9 +/- 4.86e-112],1.851360151304110508047815900922167930787e-112,5,acb_coefficient_enclosure,-25.0,50,[1.629942337601212859604590332617162222050704031998774267360809247431366582171640176711552552512309116324e-9 +/- 4.86e-112],1.851360149367814550623156764513152614143e-112,8.4035213948533036985101150673268512058936510058135610057238479683741450727914583e-3375
[1.74769687527233837887945589158193369394817985060938979333053872333865474999987870508062625826074234511e-16 +/- 5.99e-118],1.699225675553803737220756459053924227417e-118,1e-110,[2.42735677121158108177702207164157457492802757029081915740352600463702048611094264594531424758436436821e-19 +/- 6.66e-121],2.360035652236213544473873680819947984806e-121,,,,,,6,160,0.25062040000921115,[1.16270777718118127670092441555162884790984509101341484170694080186274023207991930491603903709570666736e-10 +/- 3.50e-112],1.130460851125172651384856116172855498961e-112,6,acb_coefficient_enclosure,-25.0,50,[1.16270777718118127670092441555162884790984509101341484170694080186274023207991930491603903709570666736e-10 +/- 3.50e-112],1.130460849188876693960196979763840182318e-112,2.5598419018168525112384658205087946750260659986939770448204952272893549606349365e-3373
[5.5331635481756235559323438993539794576292070169121566208316709104656739474064400192594983278476859494e-19 +/- 5.10e-120],4.26060290738881493975186685552665506355e-120,1e-110,[1.0978499103523062610976872816178530669899220271651104406412045457273162594060396863610115729856519741e-22 +/- 2.29e-123],8.453577170141342577553374356052773140654e-124,,,,,,6,160,0.26793530001305044,[9.570867917858724982155741348341760179286052994949430847437924460617969265699446681633693523631322122e-12 +/- 2.05e-112],7.369684102414937222605019024839722930324e-113,7,acb_coefficient_enclosure,-25.0,50,[9.570867917858724982155741348341760179286052994949430847437924460617969265699446681633693523631322122e-12 +/- 2.05e-112],7.369684092733457435481723342794646347108e-113,7.986706733668579835064013359987439386081325915925208379839945109142787477181002e-3372
[1.712690296336691317507439613489729537808214379833258007117009432321693617538367935940338155115259973e-21 +/- 5.33e-121],9.79725262897339054602020352309564013295e-122,1e-110,[4.247743790517587593024403803297940321944976140459469263683059107940708376831269682391711694234275726e-26 +/- 6.34e-126],2.429874150846305841352152476974427893797e-126,,,,,,6,160,0.2814220000291243,[8.88746508270561719774852552328708868192178112840066511840347147405281537303221827929462770911362521e-13 +/- 5.04e-112],5.083974617989374510914025889770214477659e-113,8,acb_coefficient_enclosure,-25.0,50,[8.88746508270561719774852552328708868192178112840066511840347147405281537303221827929462770911362521e-13 +/- 5.04e-112],5.083974613148634617352378048747676186051e-113,2.5369539036359018299615101261136572167552447027056544265373943287865324927516124e-3370
[5.18892824946322871572418641297573252944749721881041237460235112278323550212621129186184311584561679e-24 +/- 4.43e-123],2.089284907465102237773189149493030970999e-123,1e-110,[1.429929522008164879774081352782113241139632170086643621748884237980388972146773393921363292505957007e-29 +/- 7.60e-129],5.757509090555886013072838627275832375662e-129,,,,,,6,160,0.26526200002990663,[9.15494317274928231359200882605856163423008367868446691541409911496779238619420254955859421246711518e-14 +/- 8.10e-113],3.686172470478335307471840464798850408124e-113,9,acb_coefficient_enclosure,-25.0,50,[9.15494317274928231359200882605856163423008367868446691541409911496779238619420254955859421246711518e-14 +/- 8.10e-113],3.686172465637595413910192623776312116516e-113,8.1716620475009048417707589325345169297589987266097921528467648906176730819157199e-3369
