A_ball,A_rad,abs_tol,c_ball,c_rad,cache_A,cache_A_exact_contained,cache_A_radius,cache_A_radius_contains_A_ball,cache_A_radius_overlaps_A_ball,cutoff,dps,elapsed_seconds,full_mu_ball,full_mu_rad,k,kind,lam,n_sum,retained_mu_ball,retained_mu_rad,tail_mu_bound
[2.0361676077633903212705043915481197605991948274e-730 +/- 8.28e-777],4.522910140796039118472942246701690964588e-777,1e-150,[5.908132488682910150032112879435607891112434405e-1211 +/- 4.40e-1257],1.312365057644574756580635494045211889737e-1257,,,,,,7,220,1.175334399973508,[8.081558869846244417287634737533525505896296278e-104 +/- 4.85e-150],1.795145160424223865943610861606879380658e-150,245,acb_coefficient_enclosure,-100.0,70,[8.081558869846244417287634737533525505896296278e-104 +/- 4.85e-150],1.795145158148118906470891518561540844445e-150,3.17680820620706155578858112296595099568819818250590735381664705602717641999680115459719586537261492e-6240
[1.5547857027318877858625091625915696172699633170e-733 +/- 6.49e-780],4.438182142650769599423588373461309734648e-780,1e-150,[1.8338851455740865795846528400512806564917749220e-1216 +/- 5.25e-1263],5.234879809668327895332904913010423847158e-1263,,,,,,7,220,1.1047847000299953,[6.059874678400062601828450494802096940364539121e-104 +/- 4.91e-150],1.729809285325544482584295881302905188395e-150,246,acb_coefficient_enclosure,-100.0,70,[6.059874678400062601828450494802096940364539121e-104 +/- 4.91e-150],1.729809283049439523111576538257566652182e-150,1.550321067609243285410090735039306592398830833121899087737823763102593052509189431611641690162266579e-6238
[1.1849524438931004279432097728170731176226099725e-736 +/- 5.87e-783],4.691345168399291636164721942818596672253e-783,1e-150,[5.658555268917971644631443744781812245895889313e-1222 +/- 5.80e-1268],2.240278581960724234032716760661077926938e-1268,,,,,,7,220,1.1279642999870703,[4.553768413922060698005773070663003377560414099e-104 +/- 3.58e-150],1.802882419609367778660637288797246934502e-150,247,acb_coefficient_enclosure,-100.0,70,[4.553768413922060698005773070663003377560414099e-104 +/- 3.58e-150],1.802882417333262819187917945751908398289e-150,7.565880006108381827404355936635258455066375037520346719693456291973604115043331131200490567525227021e-6237
[9.013781872622900515189876066814611894745639735e-740 +/- 6.87e-786],5.440259565368113407662048068304469467291e-786,1e-150,[1.735641415164517874247645509912157972967625382e-1227 +/- 3.61e-1273],1.047544739593984338525003991936042920108e-1273,,,,,,7,220,1.067121500032954,[3.429353527151680189975503560388059665128812411e-104 +/- 3.09e-150],2.069783080336947064773767951046755670455e-150,248,acb_coefficient_enclosure,-100.0,70,[3.429353527151680189975503560388059665128812411e-104 +/- 3.09e-150],2.069783078060842105301048608001417134242e-150,3.692362566361344089007900467667770499549998521832112870948989584744864543468329911212633776968297412e-6235
[6.843704766212017044897494762998307761587836618e-743 +/- 9.59e-789],6.946949097086927423410376948231824674559e-789,1e-150,[5.292305173728561336347706969780289705000760880e-1233 +/- 8.69e-1279],5.372145025590639142506824020903229917448e-1279,,,,,,7,220,1.0906929000047967,[2.588110796332463801631697062068682990999210777e-104 +/- 3.40e-150],2.627155096062491668791594033505312704093e-150,249,acb_coefficient_enclosure,-100.0,70,[2.588110796332463801631697062068682990999210777e-104 +/- 3.40e-150],2.627155091510281749846155347414635631667e-150,1.802006123819595442877943889561387073658138557157864624172760387921677078699082932420065538487153244e-6233
[5.186279647453645514081758646845976441564422689e-746 +/- 6.34e-792],2.030616881615071566217600143153615248152e-792,1e-150,[1.6042407174624020782578182832963234677796617667e-1238 +/- 7.83e-1285],6.281185124804807301400243819341280419537e-1285,,,,,,7,220,1.1861330000101589,[1.957393177130276456336381855073106471471414139e-104 +/- 1.33e-150],7.663905272828393825764647052956723392004e-151,250,acb_coefficient_enclosure,-100.0,70,[1.957393177130276456336381855073106471471414139e-104 +/- 1.33e-150],7.663905261447869028401050337730030710938e-151,8.794581184333917799163394419893308450701625920372644296536559729555474301650953449222160175957960872e-6232
[3.922865046187459739100345315491924414513546202e-749 +/- 2.01e-795],1.804475398047651163032825545070130352991e-795,1e-150,[4.834407454517126085940345997063191674756974064e-1244 +/- 5.41e-1290],2.223775016889001521532249066125269315606e-1290,,,,,,7,220,0.9151937999995425,[1.4835193969033596453786154358746647709048514945e-104 +/- 8.21e-151],6.824028369611656638342435329160759341442e-151,251,acb_coefficient_enclosure,-100.0,70,[1.4835193969033596453786154358746647709048514945e-104 +/- 8.21e-151],6.824028358231131840978838613934066660376e-151,4.292210208632472128263661423736795808275829318473718585202306258466348680541337101887769585677772991e-6230
[2.961664738498517430405460656511997767098050209e-752 +/- 4.72e-798],1.614052212599682782557938901702432028463e-798,1e-150,[1.4483557137206664639133610618335284036852774922e-1249 +/- 8.70e-1296],7.893269294255178194246277141937890623242e-1296,,,,,,7,220,0.8438311999780126,[1.1267400629810429977533120299453121195591215679e-104 +/- 6.64e-151],6.140523792011225562864708400784914355478e-151,252,acb_coefficient_enclosure,-100.0,70,[1.1267400629810429977533120299453121195591215679e-104 +/- 6.64e-151],6.140523780630700765501111685558221674412e-151,2.094853564597317634560682437838431807654937924998450336029331531731091008501036347529264494617823186e-6228
[2.231802778728898511560833248205585779161929927e-755 +/- 3.13e-801],1.455606755691778685427077577947763457603e-801,1e-150,[4.313945310313401828131553553856897714609561423e-1255 +/- 7.08e-1301],2.813603410564651521577302930990205430495e-1301,,,,,,7,220,0.6837498999666423,[8.575610150892843643916133554487899652128399530e-105 +/- 6.28e-151],5.593108889910381661857469733079023227924e-151,253,acb_coefficient_enclosure,-100.0,70,[8.575610150892843643916133554487899652128399530e-105 +/- 6.28e-151],5.593108884220119263175671375465676887391e-151,1.022429022800012324796924791406548226438292681540170681756327588810371735805880560544608479670967155e-6226
[1.678670333128363523584327630672026769829644378e-758 +/- 2.98e-804],1.326173360877006343329379174414634021692e-804,1e-150,[1.277469440439404155130248807922334686066908039e-1260 +/- 3.84e-1306],1.009218964295056650230906894582553688411e-1306,,,,,,7,220,0.6758702000370249,[6.540524638102131920585329371031647883880365773e-105 +/- 8.61e-151],5.16710714506152328581561882430780861145e-151,254,acb_coefficient_enclosure,-100.0,70,[6.540524638102131920585329371031647883880365773e-105 +/- 8.61e-151],5.167107139371260887133820466694462270918e-151,4.990216937803675085447937641043787345659431254912074704690068033166221028020725101298567477498199809e-6225
[1.260279798483349621224858577215550465198980349e-761 +/- 1.51e-807],1.223454205596935192931334151643426113912e-807,1e-150,[3.761074177820479852930209393578023629637313014e-1266 +/- 6.72e-1312],3.651174932697592181261474929519030402496e-1312,,,,,,7,220,0.7749637000379153,[4.998755828702054865857665055112469774980107411e-105 +/- 9.22e-151],4.852691297903992609839808339327434090889e-151,255,acb_coefficient_enclosure,-100.0,70,[4.998755828702054865857665055112469774980107411e-105 +/- 9.22e-151],4.852691292213730211158009981714087750357e-151,2.435636020464999223212466002060138946929390898801605777097357863311129523676416922729698071551518619e-6223
[9.44414737669084255824251358832709820102340169e-765 +/- 3.00e-810],1.145726546016747779416817078085109083098e-810,1e-150,[1.100950300652876460499104949849272987367037772e-1271 +/- 2.90e-1317],1.335629286885535473289123005652774242152e-1317,,,,,,7,220,0.7674920000135899,[3.828323243206520466758158635805695608647055897e-105 +/- 5.96e-151],4.644370074515189738060990670518895458599e-151,256,acb_coefficient_enclosure,-100.0,70,[3.828323243206520466758158635805695608647055897e-105 +/- 5.96e-151],4.644370068824927339379192312905549118066e-151,1.188808778097916482456470491726780099262475998344900722275648022211449749382725211076586939835837713e-6221
[7.06407022003615962998147752305321103419173800e-768 +/- 4.89e-813],1.091764622259011642071909771323631007287e-813,1e-150,[3.204253320780667514036816357120247816027691557e-1277 +/- 6.56e-1323],4.952230511660524234061742506371108349324e-1323,,,,,,7,220,0.7723112000385299,[2.937975791555240099065909261725700913591794102e-105 +/- 6.12e-151],4.540693835026951292893176956995171301844e-151,257,acb_coefficient_enclosure,-100.0,70,[2.937975791555240099065909261725700913591794102e-105 +/- 6.12e-151],4.540693829336688894211378599381824961312e-151,5.802541020397539149419087136026421622361331877746751350649119288219264534025934685598478816825913127e-6220
[5.27407094921904422126700521829697086995435823e-771 +/- 5.09e-816],1.060772273838431397513402585661609685262e-816,1e-150,[9.27252680083248853580908278077366261460924731e-1283 +/- 2.21e-1328],1.864980466928718226951816041794077436912e-1328,,,,,,7,220,0.7941968000377528,[2.259312982143760679060214057917056233110187173e-105 +/- 5.24e-151],4.544149246868550814945837661560459743749e-151,258,acb_coefficient_enclosure,-100.0,70,[2.259312982143760679060214057917056233110187173e-105 +/- 5.24e-151],4.544149241178288416264039303947113403216e-151,2.832246086068315288889567966685236936949481816923390141849720023949964033194283593637864853822087384e-6218
[3.93041003720852433359132645274821108272886120e-774 +/- 3.59e-819],1.05232705541295525924136485474632465947e-819,1e-150,[2.66802703256831392017691592393033891421961901e-1288 +/- 5.09e-1333],7.143369263455155187281638156326148035168e-1334,,,,,,7,220,0.6644268999807537,[1.740960144255971305340973632753259600234051369e-105 +/- 6.96e-151],4.661242556066641072461067884420525797853e-151,259,acb_coefficient_enclosure,-100.0,70,[1.740960144255971305340973632753259600234051369e-105 +/- 6.96e-151],4.661242550376378673779269526807179457321e-151,1.38245260305141871316838969749589802165204668339345361201308203018736876402525599764215858076830327e-6216
[2.92370059502263746719030560206351124772432812e-777 +/- 4.73e-822],1.066334469201169736891244777662414707704e-822,1e-150,[7.63329265982853685897572261827797826793648160e-1294 +/- 5.62e-1339],2.784020724142594665412311862401501708935e-1339,,,,,,7,220,0.6817271999898367,[1.344253631458732689904103731670915948563183120e-105 +/- 4.96e-151],4.902772788123539571816333095167203020937e-151,260,acb_coefficient_enclosure,-100.0,70,[1.344253631458732689904103731670915948563183120e-105 +/- 4.96e-151],4.902772782433277173134534737553856680404e-151,6.748013848023153415467431554130169402808675471281942189463471998022068145475294678702060435224322544e-6215
[2.17086728719078549143364684990525199171542340e-780 +/- 6.65e-825],3.351830100699193460533287508527972130132e-825,1e-150,[2.17155975486413726429034254864334348682425833e-1299 +/- 5.57e-1344],3.352899261148464345804308797522764020556e-1344,,,,,,7,220,0.6684086000313982,[1.04003825878584080725279294452136653110623755e-105 +/- 4.48e-150],1.605824330904643698096928749334768381671e-150,261,acb_coefficient_enclosure,-100.0,70,[1.04003825878584080725279294452136653110623755e-105 +/- 4.48e-150],1.605824328628538738624209406289429845458e-150,3.293882323636387830659045127062888999699859963792671169308087507409280644088695943644070761966381075e-6213
[1.60894493484360551403959531388607283550712613e-783 +/- 6.53e-828],1.805715231110171161396016078422561264597e-828,1e-150,[6.14297007396689838595072762051094525298857290e-1305 +/- 8.17e-1350],6.8942412899374151270758559560891714201e-1350,,,,,,7,220,0.6217406000359915,[8.0628560581142419889280396448779918830691354e-106 +/- 2.39e-150],9.04892490515781968397371721674468682463e-151,262,acb_coefficient_enclosure,-100.0,70,[8.0628560581142419889280396448779918830691354e-106 +/- 2.39e-150],9.048924893777294886610120501517994143565e-151,1.607853758244375446405701894690298217053491643659329220111587781950050191734495446624125741274522815e-6211
[1.19030645733043890306522209012870486473650908e-786 +/- 5.86e-831],1.429363631817314651667777122305565573686e-831,1e-150,[1.72798616043749522069501837664260249645929582e-1310 +/- 4.75e-1355],2.075029122632878633384788833575902656248e-1355,,,,,,7,220,0.6238572999718599,[6.26319328510998496571788156409258819794569137e-106 +/- 9.34e-151],7.521072061669866453378752857925257968687e-151,263,acb_coefficient_enclosure,-100.0,70,[6.26319328510998496571788156409258819794569137e-106 +/- 9.34e-151],7.521072050289341656015156142698565287622e-151,7.848584047597069897302975567534709987419558355433822426446033337887104588684989632714541687720512225e-6210
[8.7899875900134795522347026557600524900620857e-790 +/- 6.10e-834],1.406298053282673322142459230716072855247e-834,1e-150,[4.83354543507253422015466917219434328771668352e-1316 +/- 8.48e-1361],7.733122984385737134455980611031066069765e-1361,,,,,,7,220,0.9523316999548115,[4.87490209097995912260184528648805748849273273e-106 +/- 8.05e-151],7.799288906259814961376721007226090301739e-151,264,acb_coefficient_enclosure,-100.0,70,[4.87490209097995912260184528648805748849273273e-106 +/- 8.05e-151],7.799288894879290164013124291999397620674e-151,3.831266273366713345142811683940431304444900858456854376523930413691090771145793710502601323289353255e-6208
[6.4793545774109522391088338422909469257331462e-793 +/- 5.95e-837],1.502779101148448237188833281799735462301e-837,1e-150,[1.34450807976379571449253325581048607124054692e-1321 +/- 5.08e-1366],3.118364048611345416759042896264632028413e-1366,,,,,,7,220,0.8733809000113979,[3.8018506337700078630043763481479243450295839e-106 +/- 1.57e-150],8.817763526146423144403678621833191572271e-151,265,acb_coefficient_enclosure,-100.0,70,[3.8018506337700078630043763481479243450295839e-106 +/- 1.57e-150],8.817763514765898347040081906606498891206e-151,1.870249587042157751778659541608661390631191622449343169376210927557189526909041784744593764613621953e-6206
[4.7675074676855803581159519272223509422451409e-796 +/- 5.49e-840],4.465237489843263094163908597539628111573e-840,1e-150,[3.7191304766058316021580548320992230587684028e-1327 +/- 4.80e-1371],3.483329788666960642793465467869043428356e-1371,,,,,,7,220,0.7498980000382289,[2.9708395855443030900417824822267979437223225e-106 +/- 3.67e-150],2.782482106819530177541469198930644706575e-150,266,acb_coefficient_enclosure,-100.0,70,[2.9708395855443030900417824822267979437223225e-106 +/- 3.67e-150],2.782482102267320258596030512839967634149e-150,9.129835648264522053194923567188698071826074075892956833771037921971953902560292344703486897088523378e-6205
