A_ball,A_rad,abs_tol,c_ball,c_rad,cache_A,cache_A_exact_contained,cache_A_radius,cache_A_radius_contains_A_ball,cache_A_radius_overlaps_A_ball,cutoff,dps,elapsed_seconds,full_mu_ball,full_mu_rad,k,kind,lam,n_sum,retained_mu_ball,retained_mu_rad,tail_mu_bound
[0.12442400106240475568929646118292218594935150145656763515422544945899270618033739100049982226464735061838580113660782681677411779926071970387 +/- 6.11e-141],3.154815650502915249372022171871265856604e-141,1e-140,[0.12442400106240475568929646118292218594935150145656763515422544945899270618033739100049982226464735061838580113660782681677411779926071970387 +/- 6.11e-141],3.154815635839220704573919698021764769179e-141,,,,,,8,220,3.7777621999994153,[0.12442400106240475568929646118292218594935150145656763515422544945899270618033739100049982226464735061838580113660782681677411779926071970387 +/- 6.11e-141],3.154815630951322522974552206738597740037e-141,0,acb_coefficient_enclosure,0.1,100,[0.12442400106240475568929646118292218594935150145656763515422544945899270618033739100049982226464735061838580113660782681677411779926071970387 +/- 6.11e-141],3.154815626063424341375184715455430710896e-141,9.69258356584364137310741394453896025004010553792755374326881e-13603
[0.00072019385081311425992634549495360962760230809211237842837156434656284165547604873683812163415738944275792074546899163737163777292268692543 +/- 4.60e-141],2.303934751266104431517976829779674175523e-141,1e-140,[0.00072019385081311425992634549495360962760230809211237842837156434656284165547604873683812163415738944275792074546899163737163777292268692543 +/- 4.60e-141],2.303934743934257159118925592854923631811e-141,,,,,,8,220,4.380213900003582,[0.00144038770162622851985269098990721925520461618422475685674312869312568331095209747367624326831477888551584149093798327474327554584537385086 +/- 9.20e-141],4.607869482980616136638483694426680234479e-141,1,acb_coefficient_enclosure,0.1,100,[0.00144038770162622851985269098990721925520461618422475685674312869312568331095209747367624326831477888551584149093798327474327554584537385086 +/- 9.20e-141],4.607869478092717955039116203143513205338e-141,2.06775116071331015959624830816831152000855584809121146523068e-13601
[3.877449574039777041856281862401193967072152720755551684759986588446552198047835211990535494651344962086183620026962510074683902098728936e-6 +/- 6.70e-142],5.628172047527464349619787168397937214593e-142,1e-140,[1.938724787019888520928140931200596983536076360377775842379993294223276099023917605995267747325672481043091810013481255037341951049364468e-6 +/- 3.35e-142],2.814086011543986720811474855991051034442e-142,,,,,,8,220,4.122612099992693,[4.652939488847732450227538234881432760486583264906662021711983906135862637657402254388642593581613954503420344032355012089620682518474723e-5 +/- 7.48e-141],6.753806417929771766748804671812188424377e-141,2,acb_coefficient_enclosure,0.1,100,[4.652939488847732450227538234881432760486583264906662021711983906135862637657402254388642593581613954503420344032355012089620682518474723e-5 +/- 7.48e-141],6.753806408153975403550069689245854366094e-141,7.94016445713911101284959350336631623683285445667025202648581e-13600
[1.9639867806048251743466435661344478664662790538238130731464224582948237308781650435580957514484497133740254716642427910178742050571518e-8 +/- 3.05e-142],8.268482620042621305995409757146894751959e-143,1e-140,[3.2733113010080419572444059435574131107771317563730217885773707638247062181302750725968262524140828556233757861070713183631236750952530e-9 +/- 5.08e-143],1.378080430309319460375058538582858722798e-143,,,,,,8,220,3.7590751000097953,[2.3567841367257902092159722793613374397595348645885756877757069499537884770537980522697149017381396560488305659970913492214490460685821e-6 +/- 4.33e-140],9.922179069510698297804137466507976507938e-141,3,acb_coefficient_enclosure,0.1,100,[2.3567841367257902092159722793613374397595348645885756877757069499537884770537980522697149017381396560488305659970913492214490460685821e-6 +/- 4.33e-140],9.922179059734901934605402483941642449655e-141,3.62978946612073646301695703011031599398073346590640092639351e-13598
[9.43423097783948653008100966415247424091259728184541624518654391201765408262237349558649110074631842620119640742769752966937336978030e-11 +/- 4.99e-143],8.690072619238276586294790886568642362922e-144,1e-140,[3.930929574099786054200420693396864267046915534102256768827726630007355867759322289827704625310966010917165169761540637362238904075127e-12 +/- 6.47e-145],3.6208635814048276026892205450156472306e-145,,,,,,8,220,4.520368299999973,[1.584950804277033737053609623577615672473316343350029929191339377218965885880558747258530504925381495601800996447853184984454726123091e-7 +/- 2.38e-140],1.459932192287766785026026999941764155174e-140,4,acb_coefficient_enclosure,0.1,100,[1.584950804277033737053609623577615672473316343350029929191339377218965885880558747258530504925381495601800996447853184984454726123091e-7 +/- 2.38e-140],1.459932190332607512386280003428497343518e-140,1.80682853424676659492399638832157951700374288080674179447144e-13596
[4.3235925996659407400879550144900755980993699932356708370967264516584495719493145526851006340744646983092246369136923380770231136554316e-13 +/- 4.52e-147],2.609666783923701571293507234921349787687e-147,1e-140,[3.6029938330549506167399625120750629984161416610297256975806053763820413099577621272375838617287205819243538640947436150641859280461930e-15 +/- 3.77e-149],2.174722313624020221806914384388719282642e-149,,,,,,8,220,4.403071399996406,[1.30745440213898047980259759638179886086524948595446686113805007898151515055747272073197443174411812476870953020270056303449178956940252e-8 +/- 9.50e-143],7.891632307090559775308649337125294629097e-143,5,acb_coefficient_enclosure,0.1,100,[1.30745440213898047980259759638179886086524948595446686113805007898151515055747272073197443174411812476870953020270056303449178956940252e-8 +/- 9.50e-143],7.891632299453218866559637631995346146063e-143,9.46121123387397780614747199702936183449232635767893885105043e-13595
[1.899200719318342749704287820214610073369440016793328675741488725711286603194157031363877570193196072617840126894005079993652932194994e-15 +/- 4.98e-148],1.156443820057029503513403015850843921125e-148,1e-140,[2.637778776831031596811510861409180657457555578879623160752067674599009171102995876894274403046105656413666842908340388880073516937491e-18 +/- 2.97e-151],1.606171967812445084808529928786754444031e-151,,,,,,8,220,4.095518399990397,[1.263500254548107064523268601032375789611221054372265701397297619441204751373008789825760469898129483191196679620043699618177422730685e-9 +/- 4.32e-142],7.693589397565425472656422899645144656022e-143,6,acb_coefficient_enclosure,0.1,100,[1.263500254548107064523268601032375789611221054372265701397297619441204751373008789825760469898129483191196679620043699618177422730685e-9 +/- 4.32e-142],7.693589389928084563907411194515196172988e-143,5.12360977588252336579063098916051594729430596600459457779962e-13593
[8.02608661144681797866858482452136548602919867437285244206827859600834733732660814808422373788072036171880193346624454259742097538986e-18 +/- 6.38e-150],4.382936876238176823963500347079294337428e-150,1e-140,[1.59247750227119404338662397311931854881531719729620088136275368968419590026321590239766344005569848446801625664012788543599622527577e-21 +/- 5.40e-153],8.696303293798165074817493824372782517565e-154,,,,,,8,220,3.7505727999960072,[1.388294674224468156860645389134969247941831376462560530891387939931632662309927925876942815767694266983513983077070024017795178891915e-10 +/- 9.27e-143],7.581288592671180064718132034279679055386e-143,7,acb_coefficient_enclosure,0.1,100,[1.388294674224468156860645389134969247941831376462560530891387939931632662309927925876942815767694266983513983077070024017795178891915e-10 +/- 9.27e-143],7.581288585033839155969120329149730572352e-143,2.84189555568950629355853665532103284543257504247721512581952e-13591
[3.2732206396879037625318657781608097312791527294831229664780610732868652350505253758291044011165095468969381906091002739059234149426e-20 +/- 1.70e-151],1.470755936872057054377506902929997711744e-151,1e-140,[8.1181067452576978237397464736131193732121843489164756113047149635090903647086442852904375027691209000420094013122526634571513267426e-25 +/- 7.15e-156],3.647708162405184801510119192861431715202e-156,,,,,,8,220,3.881891299999552,[1.69853441719382351980701573861796232845980788773901499676804908725230284878804254718463752926033734766048413076976933957482352900455e-11 +/- 8.87e-143],7.632023127559681582016818666594637923905e-143,8,acb_coefficient_enclosure,0.1,100,[1.69853441719382351980701573861796232845980788773901499676804908725230284878804254718463752926033734766048413076976933957482352900455e-11 +/- 8.87e-143],7.632023119922340673267806961464689440871e-143,1.60483513733054473048011481712246560683251296516360383575691e-13589
[1.2915228239945848447935086294004769249605030495339025748768980745477675627689577241113706058863980295433737289336958886650156583558e-22 +/- 9.33e-153],4.535544145066654465956250097101150244229e-153,1e-140,[3.559090674588251887107331981372566481923784858724378788792157392382516431792762687696678256962075698697568697458377118234721280742e-28 +/- 3.88e-158],1.249874376113601844096040250930052923388e-158,,,,,,8,220,4.11845429999812,[2.2786628551285553595032858164059407134672426392414617976974004957451881086294881803359471124862408406629207684690444005509354087903e-12 +/- 8.60e-143],8.002162806911520797329737900952186870412e-143,9,acb_coefficient_enclosure,0.1,100,[2.2786628551285553595032858164059407134672426392414617976974004957451881086294881803359471124862408406629207684690444005509354087903e-12 +/- 8.60e-143],8.002162799274179888580726195822238387378e-143,9.18979278639806666717034168962759252754617950577895249107113e-13588
