kind,lam,m,shift,sigma,det_sign,signed_sign,log10_abs_det,ok,dps,n_sum,cutoff
hankel,0.0,0,0,1,1,1,-0.90559807557592584972,True,50,30,6.0
hankel,0.0,1,0,-1,-1,1,-7.4450932037106750633,True,50,30,6.0
hankel,0.0,2,0,-1,-1,1,-19.749425685449091858,True,50,30,6.0
hankel,0.0,0,1,1,1,1,-3.1439522234556131314,True,50,30,6.0
hankel,0.0,1,1,-1,-1,1,-12.056162202475476985,True,50,30,6.0
hankel,0.0,2,1,-1,-1,1,-26.791370540394228972,True,50,30,6.0
