A_ball,A_rad,abs_tol,c_ball,c_rad,cache_A,cache_A_exact_contained,cache_A_radius,cache_A_radius_contains_A_ball,cache_A_radius_overlaps_A_ball,cutoff,dps,elapsed_seconds,full_mu_ball,full_mu_rad,k,kind,lam,n_sum,retained_mu_ball,retained_mu_rad,tail_mu_bound
[3.42856189259647865738160216985534473843878401402440309850784193536823734530673716834465896e-112 +/- 7.66e-202],6.181841102323649282747357182882270824461e-202,1e-120,[1.28977111485282737737977880958783753475649368872473090162684027773977438860315357392662112e-166 +/- 4.50e-256],2.32551148861472675552245434426021569138e-256,,,,,,8,180,1.3500605000008363,[2.39230154290172934904801548241830185913589808384728842375834664968212612568497747208504141e-32 +/- 5.83e-122],4.313420144440354946566071381998470886005e-122,44,acb_coefficient_enclosure,0.0,100,[2.39230154290172934904801548241830185913589808384728842375834664968212612568497747208504141e-32 +/- 5.83e-122],4.31342013993206460585038008279977422463e-122,5.3639376189095960556897568139935039105966094656517004329129e-13528
[7.4287542881093946315984218006197752202499984108624548721435512703201792900826715230206806e-115 +/- 7.05e-204],4.522967652650715110331591424030522775614e-204,1e-120,[6.2101792078106588735706032024852356299092713627558725079876673852875272066923833741350844e-171 +/- 6.29e-260],3.78104301876076749958069503095104845339e-260,,,,,,8,180,1.341267700001481,[9.2265623913369946115374316152063157538490327566809697800164776115933756967967456026028163e-33 +/- 8.99e-122],5.617555963491306427896822035480044911953e-122,45,acb_coefficient_enclosure,0.0,100,[9.2265623913369946115374316152063157538490327566809697800164776115933756967967456026028163e-33 +/- 8.99e-122],5.617555954474725746465439437082651589202e-122,3.35747128322077572892404997939637343678662500179693249075515e-13526
[3.4285632149150000817636153825010412373262646986440617989297299417345136964505557652824523e-112 +/- 5.08e-201],6.181849170556256639405648180849561188638e-202,1e-120,[1.28977161228827903156793143611720677010186765531739517464885861234097230358109043566759669e-166 +/- 6.39e-256],2.325514522926962685803706872690108616606e-256,,,,,,8,180,1.3432931999996072,[2.39230246555814860225999278661755942809817675281118105103256889967668805325133203807815183e-32 +/- 5.07e-122],4.313425770786700159748812781971904282513e-122,44,acb_coefficient_enclosure,0.000001,100,[2.39230246555814860225999278661755942809817675281118105103256889967668805325133203807815183e-32 +/- 5.07e-122],4.313425766278409819033121482773207621138e-122,5.36428092190278487112441441801077271525035414477832679515246e-13528
[7.4287571885692459657812180596425482289436721350321958909634260185882824662389591249432219e-115 +/- 9.51e-204],4.52297419953479653928823365406112037025e-204,1e-120,[6.2101816324938242161216939121750042810586355228917327465029316122185561835197687004597480e-171 +/- 7.96e-260],3.781048494494150128774109274112362533626e-260,,,,,,8,180,1.6253518000012264,[9.2265659937274821711361078048249872868343354399084601787147131405892515199896592462536705e-33 +/- 5.83e-122],5.617564096447081079003925789928822033187e-122,45,acb_coefficient_enclosure,0.000001,100,[9.2265659937274821711361078048249872868343354399084601787147131405892515199896592462536705e-33 +/- 5.83e-122],5.617564087430500397572543191531428710437e-122,3.35768616825914973911260049725157817429296892402828015661411e-13526
[3.42869412700424976253616721095904697029302293910361563431570579898910068351595732112510735e-112 +/- 8.70e-202],6.18264626022817287401645158040787973067e-202,1e-120,[1.28982085935938014698015695810008368868435907003885183746532220213204866997820244703375817e-166 +/- 2.34e-256],2.325814376490503210686468999411285359842e-256,,,,,,8,180,1.464332799994736,[2.39239381032686133081038190105654413292740079362056678118806302817070779785666643426291174e-32 +/- 8.28e-122],4.313981949549453573153012326781624843718e-122,44,acb_coefficient_enclosure,0.0001,100,[2.39239381032686133081038190105654413292740079362056678118806302817070779785666643426291174e-32 +/- 8.28e-122],4.313981945041163232437321027582928182342e-122,5.39837690784251015382812383246848892594109357525188777222433e-13528
[7.4290443397676216731590765109769954317240237797707404863188929547778766022762190863427578e-115 +/- 9.39e-204],4.523619525066975431290325845389281096001e-204,1e-120,[6.2104216808697013200805357221227576940233329817754272427133041755764291507723781579762586e-171 +/- 8.78e-260],3.781587963262428581455369588750586664078e-260,,,,,,8,180,1.2122551000065869,[9.2269226374317707030548359535357575158576381712662313142652039255946788420537666471810432e-33 +/- 6.44e-122],5.618365598337014877465862531016067998537e-122,45,acb_coefficient_enclosure,0.0001,100,[9.2269226374317707030548359535357575158576381712662313142652039255946788420537666471810432e-33 +/- 6.44e-122],5.618365589320434196034479932618674675786e-122,3.37902800737043272925329597249895746397367791259722557698789e-13526
[3.4418109233507991457763357401079282490260288079952737793894996913969493006004983961188319e-112 +/- 5.21e-201],6.26292817079168010518376321470111489387e-202,1e-120,[1.29475519205546416066897944778666657281602015471855958868207564705211660665732466263145248e-166 +/- 6.05e-256],2.356015171494347007255635108717285332729e-256,,,,,,8,180,1.3166608000028646,[2.40154614098932868528050283726973227951146993545155039490164280173538614125879537225610526e-32 +/- 6.24e-122],4.369999179199756190939632426701338920503e-122,44,acb_coefficient_enclosure,0.01,100,[2.40154614098932868528050283726973227951146993545155039490164280173538614125879537225610526e-32 +/- 6.24e-122],4.369999174691465850223941127502642259127e-122,1.01726051320465777853568177907139142825221109324483641791837e-13527
[7.4578162605337287603062153342198586346663271532496096232339512043524334839391779634702399e-115 +/- 7.14e-204],4.588621855833629599509058898050639329727e-204,1e-120,[6.2344740020504476822491586859646848899363548652276598626521723589308179615155377887753199e-171 +/- 5.61e-260],3.8359276452165239829483482370509386354e-260,,,,,,8,180,1.3130135999963386,[9.2626575549928483850294906660301541898835716265157886645395501321736643273114936711005744e-33 +/- 7.96e-122],5.699098925669385616897705392756420119632e-122,45,acb_coefficient_enclosure,0.01,100,[9.2626575549928483850294906660301541898835716265157886645395501321736643273114936711005744e-33 +/- 7.96e-122],5.699098916652804935466322794359026796881e-122,6.36738009144366011707609166328642370914790591991493212798135e-13526
[3.56340947014961971294980152799769852968769349467698249187483681131314915978258404890415920e-112 +/- 9.05e-202],7.047329121114171649454700833151254879926e-202,1e-120,[1.34049865481979727929520972267189553111780731049819252032261498636305757121464629383081889e-166 +/- 5.54e-256],2.651094481670980262411192578053630737125e-256,,,,,,8,180,1.3030670000007376,[2.48639232438464294654188060457715182091371352548259698547189192959701035062973014377818756e-32 +/- 7.97e-122],4.917320084649763789884350731612506355415e-122,44,acb_coefficient_enclosure,0.1,100,[2.48639232438464294654188060457715182091371352548259698547189192959701035062973014377818756e-32 +/- 7.97e-122],4.917320075633183108452968133215113032664e-122,3.22825923939613148801431870101496796942975030218131419268053e-13525
[7.7246076739495944379460302947120576829445384135254126005408213513560515954682518696064479e-115 +/- 8.24e-204],5.224210626746539128256897564716412114919e-204,1e-120,[6.4575023085687516030900748790834419097581009527431979812818259995125807587099713163174387e-171 +/- 6.41e-260],4.367257668634686116976914523776868428715e-260,,,,,,8,180,1.363160799999605,[9.5940142705184242293172974444464565831851288464736768379410236532296374571530122512090190e-33 +/- 8.46e-122],6.488504423425234816019149292247596014289e-122,45,acb_coefficient_enclosure,0.1,100,[9.5940142705184242293172974444464565831851288464736768379410236532296374571530122512090190e-33 +/- 8.46e-122],6.488504414408654134587766693850202691538e-122,2.02067743160443570942083069461332500591998436496975446609981e-13523
