A_ball,A_rad,abs_tol,c_ball,c_rad,cache_A,cache_A_exact_contained,cache_A_radius,cache_A_radius_contains_A_ball,cache_A_radius_overlaps_A_ball,cutoff,dps,elapsed_seconds,full_mu_ball,full_mu_rad,k,kind,lam,n_sum,retained_mu_ball,retained_mu_rad,tail_mu_bound
[1.503958834989855538552546325858855249324136961420772273263919920e-447 +/- 8.02e-511],4.550120403219703572852581882018755357485e-511,1e-150,[7.49601716420661118511236376678431181703535753164091904085006117e-717 +/- 4.59e-780],2.26786663555238855696689340590975678852e-780,,,,,,7,220,0.6814037000003736,[1.792852382131143250297173023686085896947133067108767243244737708e-87 +/- 9.43e-151],5.424147245674835181409053726588026867156e-151,153,acb_coefficient_enclosure,-100.0,70,[1.792852382131143250297173023686085896947133067108767243244737708e-87 +/- 9.43e-151],5.424147239984572782727255368974680526624e-151,1.61396736889466393862136308341825619234866964328281135085253e-6395
[1.408327323281942434398417156511336377716165636565179439604913282e-450 +/- 5.93e-514],2.994703281091754111378814684707968811729e-514,1e-150,[4.55803344356250248948145468585085374911809172000921436565424163e-722 +/- 3.04e-785],9.692319004807800328273084115978625079099e-786,,,,,,7,220,0.7091431000008015,[1.030814596583975693470660984216875757716555222622146802877703312e-87 +/- 5.41e-151],2.191950539341528088797620770933667821531e-151,154,acb_coefficient_enclosure,-100.0,70,[1.030814596583975693470660984216875757716555222622146802877703312e-87 +/- 5.41e-151],2.191950536496396889456721592126994651265e-151,7.85725279297166007400684947050512229822040046728263144041248e-6394
[1.31535312533303266558152666016801925699552463129804337572659564e-453 +/- 5.79e-516],1.846182298999063666692020460989529971922e-516,1e-150,[2.74653137815350413867612328442054065525334604903039090707541963e-727 +/- 4.60e-790],3.854932557160352301328474067480137312817e-790,,,,,,7,220,0.6806839999990189,[5.9498742978533716742455031691248766659625249188276436167040552e-88 +/- 3.13e-150],8.351029335296428014268878109126239737836e-151,155,acb_coefficient_enclosure,-100.0,70,[5.9498742978533716742455031691248766659625249188276436167040552e-88 +/- 3.13e-150],8.351029323915903216905281393899547056771e-151,3.82529467969080080966359189173369957290530815032560522955901e-6392
[1.22534037529309870454217234920715498185261735295583045288504334e-456 +/- 3.71e-519],9.228503780475301694625551264837854735635e-520,1e-150,[1.64011518492556296895369591946741623942749699355697804128864553e-732 +/- 1.84e-795],1.23523303831823722700523204896326221259e-795,,,,,,7,220,0.7045121999981347,[3.44756575418530337156220389962813346538896467409132358483375562e-88 +/- 5.85e-151],2.596492700030960974965774903691065845561e-151,156,acb_coefficient_enclosure,-100.0,70,[3.44756575418530337156220389962813346538896467409132358483375562e-88 +/- 5.85e-151],2.596492697185829775624875724884392675294e-151,1.86241743207054675841736347725654465787552686590453348540734e-6390
[1.13854773357630988726464893897999471701485429254144029554576258e-459 +/- 1.93e-522],6.156700965639199419337345667478623785304e-523,1e-150,[9.70664611416123927281455625188698688279273334478443053271158915e-738 +/- 6.39e-801],5.248872354870397525920831882206146145771e-801,,,,,,7,220,0.6550184000006993,[2.00530940429706402537695854983762901839140283901150908642626126e-88 +/- 1.19e-151],1.084371774786439300755839792616088042078e-151,157,acb_coefficient_enclosure,-100.0,70,[2.00530940429706402537695854983762901839140283901150908642626126e-88 +/- 1.19e-151],1.084371773363873701085390203212751456945e-151,9.06790354148126210598320750815353187867839858488185081450553e-6389
[1.0551891355490270201184577770496108661105696545089735609124471e-462 +/- 1.94e-524],1.086689457309165984677936439177477805273e-524,1e-150,[5.693655382775960335466712080099876706041846113471168299270068e-743 +/- 5.04e-804],5.863626771993475480912927938390546957055e-805,,,,,,7,220,0.6807107999993605,[1.1708493194349160866072439162112456015718408994241482018020307e-88 +/- 5.29e-150],1.205802411101947976535332550347386084276e-150,158,acb_coefficient_enclosure,-100.0,70,[1.1708493194349160866072439162112456015718408994241482018020307e-88 +/- 5.29e-150],1.20580240996389549679897287882471681617e-150,4.41523946885688582352841665262933011190539691349057941078526e-6387
[9.754350634570795876279710669202454664937818860215190364242797e-466 +/- 2.00e-527],9.437872492414993709449915177992426548839e-528,1e-150,[3.3102599898263798232215119690250225357032886846470427025692220e-748 +/- 6.36e-810],3.202859183731695562520444344269547530007e-810,,,,,,7,220,0.6644872000033502,[6.8621201456089057746970123511412432572309398881149956049707634e-89 +/- 8.47e-151],6.639479844808393002196877692106849179385e-151,159,acb_coefficient_enclosure,-100.0,70,[6.8621201456089057746970123511412432572309398881149956049707634e-89 +/- 8.47e-151],6.639479833427868204833280976880156498319e-151,2.149903281183511206798335293582802025963214114647309404004e-6385
[8.994142789040955768463917928115905325538080689713556075497353e-469 +/- 9.14e-530],6.229962960864989677616391720249834686585e-530,1e-150,[1.907671262082030581944194132212438034577848357292511902984874e-753 +/- 5.97e-814],1.321384540244191078453758684073055235404e-814,,,,,,7,220,0.6625138000017614,[4.036829543085760763883218597029535620242448756190552394567195e-89 +/- 3.26e-150],2.796186243439080608197869272453850866664e-150,160,acb_coefficient_enclosure,-100.0,70,[4.036829543085760763883218597029535620242448756190552394567195e-89 +/- 3.26e-150],2.796186238886870689252430586363173794238e-150,1.04688904013020136054407411133933889307884734660598421476593e-6383
[8.272159501833996398864776406190515889221502922596015903065474e-472 +/- 8.28e-533],6.789080896377505608059297700918583225698e-533,1e-150,[1.0897748553057553829636294484659553940865808698917721586216760e-758 +/- 9.04e-820],8.943939782170751815786868139808512291967e-820,,,,,,7,220,0.6691329000022961,[2.383606501511603028227380879512171850430280163770059541469437e-89 +/- 6.52e-150],1.956260306093201499982850322929801178289e-150,161,acb_coefficient_enclosure,-100.0,70,[2.383606501511603028227380879512171850430280163770059541469437e-89 +/- 6.52e-150],1.956260303817096540510130979884462642076e-150,5.09799309975477931888474975147258868397436220271378505079052e-6382
[7.58892107375071455421154557537245160020556880971760577697587e-475 +/- 2.10e-535],1.554875574373060186322632994010502427655e-535,1e-150,[6.17138875510861728031037787524216841564735965092532100797930e-764 +/- 2.40e-824],1.264440820975730030413160057516589941755e-824,,,,,,7,220,0.6488195000056294,[1.412629318622149702949743302813754034064104332792533134348607e-89 +/- 3.15e-150],2.894301817392819712702023955122617288412e-150,162,acb_coefficient_enclosure,-100.0,70,[1.412629318622149702949743302813754034064104332792533134348607e-89 +/- 3.15e-150],2.894301812840609793756585269031940215986e-150,2.48264420891750437784581336358635880311576094099541772304189e-6380
