A_ball,A_rad,abs_tol,c_ball,c_rad,cache_A,cache_A_exact_contained,cache_A_radius,cache_A_radius_contains_A_ball,cache_A_radius_overlaps_A_ball,cutoff,dps,elapsed_seconds,full_mu_ball,full_mu_rad,k,kind,lam,n_sum,retained_mu_ball,retained_mu_rad,tail_mu_bound
[1.400591172976828686719523107395598829381e-988 +/- 4.33e-1028],4.293239723462177840834740711377379362773e-1028,1e-150,[1.766108417516078626996639518682406109471e-1670 +/- 6.13e-1710],5.413661682039467253663893879059973727644e-1710,,,,,,7,220,0.609787100001995,[2.589451292482502437139959445914619365107e-111 +/- 9.70e-151],7.937459038426820978917324786745030680139e-151,327,acb_coefficient_enclosure,-100.0,70,[2.589451292482502437139959445914619365107e-111 +/- 9.70e-151],7.937459027046296181553728071518337999074e-151,9.39528049366103172330545908729382321556098007917624746211397583481487934168092e-6102
[9.29401213080929229349293859752854340560e-992 +/- 4.37e-1031],2.189112850853555735760800484273850747743e-1031,1e-150,[3.57301933862995482133932260556970177748e-1676 +/- 3.55e-1715],8.415894467299211809372136786419176713973e-1716,,,,,,7,220,0.5874508000051719,[2.250976142599189041786770806526855397085e-111 +/- 6.48e-151],5.301952161015334797122354529665966064196e-151,328,acb_coefficient_enclosure,-100.0,70,[2.250976142599189041786770806526855397085e-111 +/- 6.48e-151],5.301952155325072398440556172052619723664e-151,4.5896731726643959385005891842723783272972550325899796392168653640545441776445833e-6100
[6.15779612359574962225600383951478278643e-995 +/- 4.61e-1034],1.152632202936307372945658170962165452182e-1034,1e-150,[7.19550931489924876316302549922331333985e-1682 +/- 4.32e-1721],1.346874037104941573573909332187352479715e-1721,,,,,,7,220,0.607790499998373,[1.959694294426515580513820387041147075443e-111 +/- 3.82e-151],3.668206436321736626809368178255858563984e-151,329,acb_coefficient_enclosure,-100.0,70,[1.959694294426515580513820387041147075443e-111 +/- 3.82e-151],3.668206430631474228127569820642512223451e-151,2.2421145439694218277412665798069905233790672422483947575919354577391189789212757e-6098
[4.07360704410382484348270351037278602923e-998 +/- 3.98e-1037],6.352496298374783402990205914646860586102e-1038,1e-150,[1.442452188410952905547954539749643205281e-1687 +/- 6.80e-1727],2.249400116960368978036509079017162810591e-1727,,,,,,7,220,0.5773003000067547,[1.708667525877578664995651962694374613620e-111 +/- 6.46e-151],2.664543720250850729974934580926841763473e-151,330,acb_coefficient_enclosure,-100.0,70,[1.708667525877578664995651962694374613620e-111 +/- 6.46e-151],2.664543717405719530634035402120168593206e-151,1.0953119627733222426564786554999626473590538626239472786293674412383342049674269e-6096
[2.69070598190430334666884411208137162286e-1001 +/- 6.78e-1040],2.865834806553303009740975956385543113597e-1040,1e-150,[2.87846229123577036423998003857051411100e-1693 +/- 7.73e-1732],3.065811522622630445343957945611747153477e-1732,,,,,,7,220,0.6009429000041564,[1.49202510933797942294860781604734037897e-111 +/- 2.79e-150],1.589135897476320287255649524552514766139e-150,331,acb_coefficient_enclosure,-100.0,70,[1.49202510933797942294860781604734037897e-111 +/- 2.79e-150],1.589135895200215327782930181507176229926e-150,5.3508384860128407416893947470570573431843733871081490810748992540374670534977358e-6095
[1.77454967313916738704647801857023406777e-1004 +/- 5.51e-1043],1.239630711773835391300958915242047711703e-1043,1e-150,[5.71800297650226288267084199991929791311e-1699 +/- 5.28e-1738],3.994372313413694012170464308424210374414e-1738,,,,,,7,220,0.5604390000007697,[1.30479286259888295232740900322232945741e-111 +/- 1.14e-150],9.11477048209670355021183639797910642325e-151,332,acb_coefficient_enclosure,-100.0,70,[1.30479286259888295232740900322232945741e-111 +/- 1.14e-150],9.114770470716178752848239682752413742184e-151,2.6140254119563783033874190548517687504967028304809389352914323618934615363455781e-6093
[1.16854756760769073764041508959356442177e-1007 +/- 6.80e-1046],2.067691834722327505198118938862735207078e-1046,1e-150,[1.13072860420696744745074097729142202804e-1704 +/- 3.88e-1743],2.000772888338886125439295513835746838396e-1743,,,,,,7,220,0.5623524999973597,[1.14275057499839344540706889932959442750e-111 +/- 4.79e-150],2.02204521573049558035959997371087655418e-150,333,acb_coefficient_enclosure,-100.0,70,[1.14275057499839344540706889932959442750e-111 +/- 4.79e-150],2.022045213454390620886880630665538017967e-150,1.2770317548515530287238238366168648386047235641862278141899748652518507370587805e-6091
[7.6832056231889274159745360589940775477e-1011 +/- 2.31e-1049],1.904293929669483696009233831288065280261e-1049,1e-150,[2.22591190573595389622938082296459182975e-1710 +/- 8.47e-1749],5.516955717409069651946379190749579823142e-1749,,,,,,7,220,0.5639635999978054,[1.00231294312770632572365969344320162064e-111 +/- 3.79e-150],2.484247506346098646883007802901160910613e-150,334,acb_coefficient_enclosure,-100.0,70,[1.00231294312770632572365969344320162064e-111 +/- 3.79e-150],2.484247501793888727937569116810483838187e-150,6.2387487061006438920449528329071739193001764197755580943454332617378531598343983e-6090
[5.0440320983318426543760757153138934213e-1014 +/- 1.99e-1052],9.357021205207408463604221719973378654233e-1053,1e-150,[4.3621294622848352086982818822601992937e-1716 +/- 4.43e-1754],8.092045610561771633855068469838476655379e-1755,,,,,,7,220,0.5416360000017448,[8.8043001004674790813748511153739051043e-112 +/- 3.43e-150],1.633257295330344919469162252213621541054e-150,335,acb_coefficient_enclosure,-100.0,70,[8.8043001004674790813748511153739051043e-112 +/- 3.43e-150],1.633257293054239959996442909168283004841e-150,3.0478751316644591270510521433014913300831458005463870326488472094341067724669361e-6088
[3.3063897380846153724279127188901590516e-1017 +/- 2.15e-1055],9.3046379009575252826606967985610467739e-1056,1e-150,[8.5101159253089147220412586653692182736e-1722 +/- 5.36e-1760],2.39486428544478774011897433313174424515e-1760,,,,,,7,220,0.5564491999975871,[7.7450380544204697395747347073742254186e-112 +/- 3.59e-150],2.179560787898055568721148267861641783736e-150,336,acb_coefficient_enclosure,-100.0,70,[7.7450380544204697395747347073742254186e-112 +/- 3.59e-150],2.179560785621950609248428924816303247523e-150,1.4890206010994911090388045084637404671887630130187913706755044190042198599099612e-6086
[2.1640762066363694035872528487910110215e-1020 +/- 5.07e-1058],5.581015836160260420762824342177868004172e-1059,1e-150,[1.65281437352567894707379086783928694264e-1727 +/- 4.57e-1766],4.262503853286453919085799626751214267252e-1766,,,,,,7,220,0.5885901000001468,[6.8231846063053484596358734028414432117e-112 +/- 3.20e-150],1.759656200179274010128428234510401536265e-150,337,acb_coefficient_enclosure,-100.0,70,[6.8231846063053484596358734028414432117e-112 +/- 3.20e-150],1.759656197903169050655708891465063000052e-150,7.2745825722159878967070601889790769461457537600475085971505347000743938252223395e-6085
