cols,det_decimal,kind,lam,log10_abs_det,matrix_size,order,rational_digits,rows,sequence,sign,source_max_k
"1,2,3",-1.71119821042992898147325e-11,toeplitz_minor,0.0,-10.766699682621201875914,10,3,70,"0,1,2",beta,-1,32
"1,2,4",-1.56837421810540505101898e-13,toeplitz_minor,0.0,-12.8045503055114547728825,10,3,70,"0,1,2",beta,-1,32
"1,2,5",-1.03398120231332073701758e-15,toeplitz_minor,0.0,-14.9854873566055239390551,10,3,70,"0,1,2",beta,-1,32
"1,2,6",-5.83173666487584756395036e-18,toeplitz_minor,0.0,-17.2342020950421698210143,10,3,70,"0,1,2",beta,-1,32
"1,2,7",-2.97646117286257865077017e-20,toeplitz_minor,0.0,-19.5262997783302733741495,10,3,70,"0,1,2",beta,-1,32
"1,2,8",-1.41122754514723251639679e-22,toeplitz_minor,0.0,-21.8504029553211712561971,10,3,70,"0,1,2",beta,-1,32
"1,2,9",-6.30824211347267197429036e-25,toeplitz_minor,0.0,-24.200091646584839991146,10,3,70,"0,1,2",beta,-1,32
"1,3,4",-3.74745902252158397318153e-16,toeplitz_minor,0.0,-15.4262631073496113894785,10,3,70,"0,1,2",beta,-1,32
"1,3,5",-3.28645474588376261521221e-18,toeplitz_minor,0.0,-17.4832723435291417294904,10,3,70,"0,1,2",beta,-1,32
"1,3,6",-2.08023260087911081350894e-20,toeplitz_minor,0.0,-19.6818881017533645698814,10,3,70,"0,1,2",beta,-1,32
"1,3,7",-1.12968939054640126993378e-22,toeplitz_minor,0.0,-21.9470409498926246587995,10,3,70,"0,1,2",beta,-1,32
"1,3,8",-5.56517299451254434809693e-25,toeplitz_minor,0.0,-24.2545213309888485872652,10,3,70,"0,1,2",beta,-1,32
"1,3,9",-2.55212590889085243211354e-27,toeplitz_minor,0.0,-26.593097903545058920319,10,3,70,"0,1,2",beta,-1,32
"1,4,5",-7.47773518513664903314422e-21,toeplitz_minor,0.0,-20.1262299189183975749458,10,3,70,"0,1,2",beta,-1,32
"1,4,6",-6.29479246845766980016184e-23,toeplitz_minor,0.0,-22.2010185834734137160166,10,3,70,"0,1,2",beta,-1,32
"1,4,7",-3.83566954930587768949974e-25,toeplitz_minor,0.0,-24.4161588152382835102053,10,3,70,"0,1,2",beta,-1,32
"1,4,8",-2.01014495341993451603214e-27,toeplitz_minor,0.0,-26.6967726240717621515888,10,3,70,"0,1,2",beta,-1,32
"1,4,9",-9.57633419925762719659355e-30,toeplitz_minor,0.0,-29.0188007061312178232066,10,3,70,"0,1,2",beta,-1,32
"1,5,6",-1.36949384599293887189347e-25,toeplitz_minor,0.0,-24.8634399149670210501847,10,3,70,"0,1,2",beta,-1,32
"1,5,7",-1.10961487904295890908715e-27,toeplitz_minor,0.0,-26.9548277283560688538132,10,3,70,"0,1,2",beta,-1,32
