A_tail_bound,c_tail_bound,cutoff,cutoff_monotone_gate,dps,k,kind,lam,log10_A_tail_bound,log10_c_tail_bound,log10_mu_cutoff_tail_bound,log10_mu_series_tail_bound,log10_mu_total_tail_bound,mu_cutoff_tail_bound,mu_series_tail_bound,mu_total_tail_bound,n_sum
1.61047827196736513716379255595623758384135116524550349426213e-13605,1.61047827196736513716379255595623758384135116524550349426213e-13605,8.0,True,120,0,coefficient_tail_bound,0.0,-13604.7930451301602362686408451,-13604.7930451301602362686408451,-107735195702586.515939348915415,-13604.7930451301602362686408451,-13604.7930451301602362686408451,3.04832067094156306974062613219233541943085796188542395520161e-107735195702587,1.61047827196736513716379255595623758384135116524550349426213e-13605,1.61047827196736513716379255595623758384135116524550349426213e-13605,100
1.71784349009852281297471205968665342276410790959520372721294e-13604,1.71784349009852281297471205968665342276410790959520372721294e-13604,8.0,True,120,1,coefficient_tail_bound,0.0,-13603.7650164065599927298671785,-13603.7650164065599927298671785,-107735195702584.709759374931528,-13603.4639864108960115346534396,-13603.4639864108960115346534396,1.95092522940260085616096657000818409899783780370465703098969e-107735195702585,3.43568698019704562594942411937330684552821581919040745442589e-13604,3.43568698019704562594942411937330684552821581919040745442589e-13604,100
1.09941983366305460030381571819945819056902906214093038541628e-13603,5.49709916831527300151907859099729095284514531070465192708142e-13604,8.0,True,120,2,coefficient_tail_bound,0.0,-13602.9588364325761055585847451,-13603.259866428240086753798484,-107735195702582.903579400947641,-13601.8796551865284807308622394,-13601.8796551865284807308622394,1.24859214681766486252027674586465357161057479028840419296525e-107735195702583,1.31930380039566552036457886183934982868283487456911646249954e-13602,1.31930380039566552036457886183934982868283487456911646249954e-13602,100
5.0259192396025353156745861403403802997441328555013960476173e-13603,8.37653206600422552612431023390063383290688809250232674602883e-13604,8.0,True,120,3,coefficient_tail_bound,0.0,-13602.2987844942704564132282669,-13603.0769357446541000457370337,-107735195702581.097399426963754,-13600.2196032482228315855057612,-13600.2196032482228315855057612,7.99098973963305713342422327631505812835043333798624283181916e-107735195702582,6.03110308752304237880950336840845635969295942660167525714075e-13601,6.03110308752304237880950336840845635969295942660167525714075e-13601,100
1.78699350741423477890651951656546855102013612640049637248615e-13602,7.44580628089264491211049798568945229591723386000206821869229e-13604,8.0,True,120,4,coefficient_tail_bound,0.0,-13601.7478770253898753117496282,-13603.1280882671014813346858728,-107735195702579.291219452979866,-13598.5225677436640124581011674,-13598.5225677436640124581011674,5.11423343336515785389995224262230264295898091850395221761443e-107735195702580,3.00214909245591442856295278782998716571382869235283390577673e-13599,3.00214909245591442856295278782998716571382869235283390577673e-13599,100
5.19852656702322844772805677546318123933130509498326217450516e-13602,4.33210547251935703977338064621931769944275424581938514542097e-13604,8.0,True,120,5,coefficient_tail_bound,0.0,-13601.2841197322281943764311337,-13603.3633009782758192041536394,-107735195702577.485039478995979,-13596.8035379453990254529788782,-13596.8035379453990254529788782,3.27310939735370185114137701657831510512705605637780132255818e-107735195702578,1.57203443386782428259296436890006600677378666072293848157036e-13597,1.57203443386782428259296436890006600677378666072293848157036e-13597,100
1.27963730880571777174844474472939845891232125414972607372435e-13601,1.77727404000794134965061770101305341515600174187461954683937e-13604,8.0,True,120,6,coefficient_tail_bound,0.0,-13600.8929131062151251695689444,-13603.7502456026463936298002169,-107735195702575.678859505012092,-13595.06990863856375001015275,-13595.06990863856375001015275,2.09479001430636971250354214264241411217424787274179503528894e-107735195702576,8.51317108802267919188805319773574206745189083960729762327334e-13596,8.51317108802267919188805319773574206745189083960729762327334e-13596,100
2.72989292545219791306334878875605004567961867551941562394527e-13601,5.41645421716705935131616823165882945571352911809407861893904e-13605,8.0,True,120,7,coefficient_tail_bound,0.0,-13600.5638543869509004355815389,-13604.2662849233964257265250277,-107735195702573.872679531028204,-13593.3258765713287073117451005,-13593.3258765713287073117451005,1.34066560915607695377702591659198239823026852761614895037918e-107735195702574,4.72197223015657939176724017367742493341331545236884774837561e-13594,4.72197223015657939176724017367742493341331545236884774837561e-13594,100
5.13862197732178430694277419059962361539692927156595882154405e-13601,1.27445981580401396501556899568443046016788920425743026327977e-13605,8.0,True,120,8,coefficient_tail_bound,0.0,-13600.2891533300092683880530144,-13604.8946738534467372646377198,-107735195702572.066499557044317,-13591.574054259667412826921548,-13591.574054259667412826921548,8.58025989859889466593142311611513578480826769923323201761381e-107735195702573,2.66652549467665659770385327454725172710398990251417284614152e-13592,2.66652549467665659770385327454725172710398990251417284614152e-13592,100
8.65452122496300514853519863679936608908956508895319380470576e-13601,2.38495404127066940821626946560829091961242424188524961549431e-13606,8.0,True,120,9,coefficient_tail_bound,0.0,-13600.0627569526421913735206534,-13605.6225199855189851246954146,-107735195702570.26031958306043,-13589.8161789652580806886352782,-13589.8161789652580806886352782,5.49136633510329396972152343426731104759639465922774703043971e-107735195702571,1.52693670432010651489568019089863677846796895470285266136946e-13590,1.52693670432010651489568019089863677846796895470285266136946e-13590,100
1.31878418666102935596726836370276054690888610879286762738374e-13600,3.63421568193625814585336299521263378226655122572990417599133e-13607,8.0,True,120,10,coefficient_tail_bound,0.0,-13599.8798262690562046654592031,-13606.4395893019329984166339643,-107735195702568.454139609076543,-13588.0534646850552838238237555,-13588.0534646850552838238237555,3.51447445446610902607803908750184469702943352627079065588889e-107735195702569,8.84169063072975962911022434348924915531928689961270874392983e-13589,8.84169063072975962911022434348924915531928689961270874392983e-13589,100
1.83483017274577997351967772341253641309062415136398974244694e-13600,4.59663643565060318843113106113850913172053909973742820678746e-13608,8.0,True,120,11,coefficient_tail_bound,0.0,-13599.7364041267538915682582857,-13607.3375598447889103601832469,-107735195702566.647959635092655,-13586.2867932523550702634018551,-13586.2867932523550702634018551,2.24926365085831034338195403332675615818284114114448887029986e-107735195702567,5.16662269900034649631484413810850037597787895351281763123552e-13587,5.16662269900034649631484413810850037597787895351281763123552e-13587,100
2.34858262111459836610518748596804660875599891374590687033208e-13600,4.90307886469397673432653979854774307383524170638659008723996e-13609,8.0,True,120,12,coefficient_tail_bound,0.0,-13599.6291941571060232017621134,-13608.3095311211886668214095803,-107735195702564.841779661108768,-13584.5168254510256278228241668,-13584.5168254510256278228241668,1.43952873654931898244733635241767504726239635560260078286923e-107735195702565,3.04210744517140401703018022851828502137577512782834702127147e-13585,3.04210744517140401703018022851828502137577512782834702127147e-13585,100
2.78350532872841287834688887225842561037748019406922295743061e-13600,4.47004340940761411676493656847657488212899528787381432454925e-13610,8.0,True,120,13,coefficient_tail_bound,0.0,-13599.5554079429451045375785027,-13609.3496882593345849264324747,-107735195702563.035599687124881,-13582.744069232528690353854295,-13582.744069232528690353854295,9.21298391391564380883342159044101699826809630917779688055193e-107735195702564,1.8027303378793505286104771724552800126671260016760574940868e-13583,1.8027303378793505286104771724552800126671260016760574940868e-13583,100
3.07145415583824869334829116938860757007170228311086671164757e-13600,3.52318692367102590483935887170567478394403569487591276811763e-13611,8.0,True,120,14,coefficient_tail_bound,0.0,-13599.512655962524154648842655,-13610.4530643145918730636225822,-107735195702561.229419713140993,-13580.9689234922847719580196247,-13580.9689234922847719580196247,5.89630970490601352320248993626245331922124557758420585859119e-107735195702562,1.07417862891569576325479467379404271099613576927456115509724e-13581,1.07417862891569576325479467379404271099613576927456115509724e-13581,100
