A_ball,A_rad,abs_tol,c_ball,c_rad,cache_A,cache_A_exact_contained,cache_A_radius,cache_A_radius_contains_A_ball,cache_A_radius_overlaps_A_ball,cutoff,dps,elapsed_seconds,full_mu_ball,full_mu_rad,k,kind,lam,n_sum,retained_mu_ball,retained_mu_rad,tail_mu_bound
[0.124280195982825070322037059225731452206278657796200851396735230262361818832142828999392713549369814565331354785835925503 +/- 7.05e-121],2.78776463939782818088301394833948058683e-121,1e-120,[0.124280195982825070322037059225731452206278657796200851396735230262361818832142828999392713549369814565331354785835925503 +/- 7.05e-121],2.787764628577931363165354830262608599529e-121,,,,,,8,180,3.7961973999917973,[0.124280195982825070322037059225731452206278657796200851396735230262361818832142828999392713549369814565331354785835925503 +/- 7.05e-121],2.787764624971299090592801790903651270429e-121,0,acb_coefficient_enclosure,0.000001,100,[0.124280195982825070322037059225731452206278657796200851396735230262361818832142828999392713549369814565331354785835925503 +/- 7.05e-121],2.787764621364666818020248751544693941328e-121,1.61058134587510091351690959522600851984528445886832858833539e-13605
[0.000717873282995548896411145881183205095798616023885954497452732434117490179791815637937246661995508569148576231363064850 +/- 8.99e-121],5.00535515262687424897979654227277795227e-121,1e-120,[0.000717873282995548896411145881183205095798616023885954497452732434117490179791815637937246661995508569148576231363064850 +/- 8.99e-121],5.005355130987080613544478306119033977668e-121,,,,,,8,180,3.507150499994168,[0.00143574656599109779282229176236641019159723204777190899490546486823498035958363127587449332399101713829715246272612970 +/- 1.80e-120],1.001071024754763213679874445480223863893e-120,1,acb_coefficient_enclosure,0.000001,100,[0.00143574656599109779282229176236641019159723204777190899490546486823498035958363127587449332399101713829715246272612970 +/- 1.80e-120],1.001071023312110304650853229736640932253e-120,3.43590687120021528216940713648215150900327351225243432178217e-13604
[3.857875759780760214803079129938286078219265615808623420489670951312670183346403624256308817550723509512570160754786e-6 +/- 3.74e-121],1.949499358492455000936554224683687445323e-121,1e-120,[1.928937879890380107401539564969143039109632807904311710244835475656335091673201812128154408775361754756285080377393e-6 +/- 1.87e-121],9.747496756395952278957240729828863935612e-122,,,,,,8,180,2.9864770999993198,[4.629450911736912257763694955925943293863118738970348104587605141575204220015684349107570581060868211415084192905743e-5 +/- 2.49e-120],2.339399214321764001804631696441012686346e-120,2,acb_coefficient_enclosure,0.000001,100,[4.629450911736912257763694955925943293863118738970348104587605141575204220015684349107570581060868211415084192905743e-5 +/- 2.49e-120],2.339399211436458183746589264953846823066e-120,1.31938823854088266835305234040914617945725702870493477956435e-13602
[1.95083329049226818635971198253842393568695109458841660333584616277859642568762031096483201766498162752441362233572e-8 +/- 2.24e-122],1.855226297657170950187609204615925547068e-122,1e-120,[3.25138881748711364393285330423070655947825182431402767222641027129766070947936718494138669610830271254068937055953e-9 +/- 7.07e-123],3.092043829428618250312682007693209245113e-123,,,,,,8,180,2.7493845999997575,[2.34099994859072182363165437904610872282434131350609992400301539533431571082514437315779842119797795302929634680286e-6 +/- 6.69e-120],2.226271549434345754194142010917352398915e-120,3,acb_coefficient_enclosure,0.000001,100,[2.34099994859072182363165437904610872282434131350609992400301539533431571082514437315779842119797795302929634680286e-6 +/- 6.69e-120],2.226271546549039936136099579430186535635e-120,6.03148909047260648389966784187038253466174641693684470657991e-13601
[9.356781750479842140122787232608442290721757246490881401748718702817121635121353192256878273779970150228728646547e-11 +/- 3.96e-123],2.839056619939742369156076193840208562028e-123,1e-120,[3.898659062699934225051161346920184287800732186037867250728632792840467347967230496773699280741654229261970269395e-12 +/- 4.89e-124],1.182940257721209015701009442850256606395e-124,,,,,,8,180,2.5597736000054283,[1.5719393340806134795406282550782183048412552174104680754937847420732764347003873362991555499950349852384264126199e-7 +/- 6.26e-120],4.769615102744279362804932200984972272886e-120,4,acb_coefficient_enclosure,0.000001,100,[1.5719393340806134795406282550782183048412552174104680754937847420732764347003873362991555499950349852384264126199e-7 +/- 6.26e-120],4.769615096973667726688847338010640546326e-120,3.00234123614636411643005688128659041725384710531967380949755e-13599
[4.28203921016872654953877068120429217374674912823740419634934817092974555740823042166853713704991282782192999684e-13 +/- 5.85e-124],2.924842953765622797351458378165476562972e-124,1e-120,[3.56836600847393879128230890100357681145562427353117016362445680910812129784019201805711428087492735651827499736e-15 +/- 6.67e-126],2.437369120249978443969040597301635887473e-126,,,,,,8,180,2.5104742999974405,[1.29488865715502290858052425399617795334101693637899102897604288688915505656024887951256563024389363913335163104e-8 +/- 4.42e-119],8.844725046044891701965709688273740797251e-120,5,acb_coefficient_enclosure,0.000001,100,[1.29488865715502290858052425399617795334101693637899102897604288688915505656024887951256563024389363913335163104e-8 +/- 4.42e-119],8.84472503450366842973353996232507734413e-120,1.57213504729118702823973887601916007303474175696739283115508e-13597
[1.8784601870910041358341322595532181634002606689819813447013860129526086561724884133031193605028372152132378339e-15 +/- 5.23e-125],6.568763276374675261683352076107638398685e-126,1e-120,[2.6089724820708390775474059160461363380559175958083074231963694624341786891284561295876657784761627989072747694e-18 +/- 4.02e-128],9.123282287692331168821363650435216882741e-129,,,,,,8,180,2.3380667000019457,[1.24970199326790323148773150963556497974692541786033254900293808669711148677843309160229924815532754253706286617e-9 +/- 7.00e-120],4.370066805177851448966769274862790349702e-120,6,acb_coefficient_enclosure,0.000001,100,[1.24970199326790323148773150963556497974692541786033254900293808669711148677843309160229924815532754253706286617e-9 +/- 7.00e-120],4.370066799407239812850684411888458623142e-120,8.5137159484076589836982782209037591647419861300388042548706e-13596
[7.928546458157207996846505918233995214411699370974394855721303311070308574787028477009496753326955490382435079e-18 +/- 6.04e-127],1.302052041760923630427889882808776205118e-127,1e-120,[1.5731242972534142850885924440940466695261308275742846935954966887044263045212358089304557050251895814250863253e-21 +/- 3.35e-131],2.583436584117594643922179401114092152884e-131,,,,,,8,180,2.433010299995658,[1.3714228807975351073969312988935052074233919929556798064997098533651022710449217193480682800138728066468228665e-10 +/- 3.73e-120],2.252195860632471454190678032917637195358e-120,7,acb_coefficient_enclosure,0.000001,100,[1.3714228807975351073969312988935052074233919929556798064997098533651022710449217193480682800138728066468228665e-10 +/- 3.73e-120],2.252195857747165636132635601430471332078e-120,4.72227444605011484962464498652795175004355497346152342670156e-13594
[3.229626846685122272780379063800709022689614655014495090201079681485315166324808722443681270213981283159106838e-20 +/- 6.11e-129],4.10842898353269367515864682478318118679e-129,1e-120,[8.00998721896111674796720997966445690151194110866690250545902698781080150378176766479087616620531072212080069e-25 +/- 2.04e-133],1.018955596586412428174553943364649710207e-133,,,,,,8,180,1.9158175000047777,[1.675912795878888953595557855180961844919658533396673769014999946588869369605003622556519174849406825086870666e-11 +/- 5.13e-120],2.131939378330591023287355199106262743467e-120,8,acb_coefficient_enclosure,0.000001,100,[1.675912795878888953595557855180961844919658533396673769014999946588869369605003622556519174849406825086870666e-11 +/- 5.13e-120],2.131939375445285205229312767619096880186e-120,2.66669615776947662096450540415696098825988986736650734684323e-13592
[1.272892031264760893309416264161443452973157671502960969285323879375489284831047967813196682722132700879896706e-22 +/- 5.71e-131],4.725942380460155550266064228817749065268e-131,1e-120,[3.50774920432308447230328556040962150841368405947685452294236077870229630960936939983795382143444858046708748e-28 +/- 4.50e-136],1.302343021698038338978129730410969076306e-136,,,,,,8,180,1.9987762999953702,[2.24579212720464297707155617529095416624484115426974314490956399728889445626568371805497677304382093547613361e-12 +/- 2.15e-120],8.338086692771647262452513936221949472996e-121,9,acb_coefficient_enclosure,0.000001,100,[2.24579212720464297707155617529095416624484115426974314490956399728889445626568371805497677304382093547613361e-12 +/- 2.15e-120],8.338086678345118172162301778786120156595e-121,1.5270344313964160861102009893277755553825053556288210491397e-13590
