cutoff,det_sign,dps,kind,lam,log10_abs_det,m,n_sum,near_zero,ok,shift,sigma,signed_sign
8.0,1,90,hankel,0.0,-0.90559807557592584972,0,100,False,True,0,1,1
8.0,-1,90,hankel,0.0,-7.4450932037106750633,1,100,False,True,0,-1,1
8.0,-1,90,hankel,0.0,-19.749425685449091858,2,100,False,True,0,-1,1
8.0,1,90,hankel,0.0,-37.836758465610409568,3,100,False,True,0,1,1
8.0,1,90,hankel,0.0,-61.771054529564072975,4,100,False,True,0,1,1
8.0,-1,90,hankel,0.0,-91.572699255332245219,5,100,False,True,0,-1,1
8.0,-1,90,hankel,0.0,-127.29068960879186341,6,100,False,True,0,-1,1
8.0,1,90,hankel,0.0,-168.94858000450444007,7,100,False,True,0,1,1
8.0,1,90,hankel,0.0,-216.57962870017240582,8,100,False,True,0,1,1
8.0,-1,90,hankel,0.0,-270.21306399021471689,9,100,True,True,0,-1,1
8.0,-1,90,hankel,0.0,-329.8714717224785777,10,100,True,True,0,-1,1
8.0,1,90,hankel,0.0,-395.58308620677162901,11,100,True,True,0,1,1
8.0,1,90,hankel,0.0,-467.36944459559110973,12,100,True,True,0,1,1
8.0,1,90,hankel,0.0,-3.1439522234556131314,0,100,False,True,1,1,1
8.0,-1,90,hankel,0.0,-12.056162202475476985,1,100,False,True,1,-1,1
8.0,-1,90,hankel,0.0,-26.791370540394228972,2,100,False,True,1,-1,1
8.0,1,90,hankel,0.0,-47.365066300562901882,3,100,False,True,1,1,1
8.0,1,90,hankel,0.0,-73.820571812385422729,4,100,False,True,1,1,1
8.0,-1,90,hankel,0.0,-106.18151426352121526,5,100,False,True,1,-1,1
8.0,-1,90,hankel,0.0,-144.48509497153007532,6,100,False,True,1,-1,1
8.0,1,90,hankel,0.0,-188.75608990199836982,7,100,False,True,1,1,1
8.0,1,90,hankel,0.0,-239.02362509348946123,8,100,False,True,1,1,1
8.0,-1,90,hankel,0.0,-295.31389109502239538,9,100,True,True,1,-1,1
8.0,-1,90,hankel,0.0,-357.64988201610846457,10,100,True,True,1,-1,1
8.0,1,90,hankel,0.0,-426.0564112590046033,11,100,True,True,1,1,1
8.0,1,90,hankel,0.0,-500.55470377525540326,12,100,True,True,1,1,1
8.0,1,90,hankel,0.0,-5.4136517845814031951,0,100,False,True,2,1,1
8.0,-1,90,hankel,0.0,-16.70769884942484103,1,100,False,True,2,-1,1
8.0,-1,90,hankel,0.0,-33.883542680957796546,2,100,False,True,2,-1,1
8.0,1,90,hankel,0.0,-56.94839666421682741,3,100,False,True,2,1,1
8.0,1,90,hankel,0.0,-85.931489400706567963,4,100,False,True,2,1,1
8.0,-1,90,hankel,0.0,-120.85497756649272272,5,100,False,True,2,-1,1
8.0,-1,90,hankel,0.0,-161.74843337051724089,6,100,False,True,2,-1,1
8.0,1,90,hankel,0.0,-208.63561283861579656,7,100,False,True,2,1,1
8.0,1,90,hankel,0.0,-261.54229368552427221,8,100,True,True,2,1,1
8.0,-1,90,hankel,0.0,-320.49234985962762448,9,100,True,True,2,-1,1
8.0,-1,90,hankel,0.0,-385.50797110190623673,10,100,True,True,2,-1,1
8.0,1,90,hankel,0.0,-456.6116807133383552,11,100,True,True,2,1,1
8.0,1,90,hankel,0.0,-533.82394284283341484,12,100,True,True,2,1,1
8.0,1,90,hankel,0.0,-7.7097798710503703749,0,100,False,True,3,1,1
8.0,-1,90,hankel,0.0,-21.39643155264489018,1,100,False,True,3,-1,1
8.0,-1,90,hankel,0.0,-41.022097607236477367,2,100,False,True,3,-1,1
8.0,1,90,hankel,0.0,-66.583936776757574649,3,100,False,True,3,1,1
8.0,1,90,hankel,0.0,-98.100487257511749635,4,100,False,True,3,1,1
8.0,-1,90,hankel,0.0,-135.59050179042966729,5,100,False,True,3,-1,1
8.0,-1,90,hankel,0.0,-179.07795217715972779,6,100,False,True,3,-1,1
8.0,1,90,hankel,0.0,-228.58458973149205593,7,100,False,True,3,1,1
8.0,1,90,hankel,0.0,-284.13333498231479008,8,100,True,True,3,1,1
8.0,-1,90,hankel,0.0,-345.74602881326282844,9,100,True,True,3,-1,1
8.0,-1,90,hankel,0.0,-413.4435911883633473,10,100,True,True,3,-1,1
8.0,1,90,hankel,0.0,-487.24677782715902506,11,100,True,True,3,1,1
8.0,1,90,hankel,0.0,-567.17509007592550865,12,100,True,True,3,1,1
8.0,1,90,hankel,0.0,-10.028873536218972105,0,100,False,True,4,1,1
8.0,-1,90,hankel,0.0,-26.119462136606851137,1,100,False,True,4,-1,1
8.0,-1,90,hankel,0.0,-48.203858594148902789,2,100,False,True,4,-1,1
8.0,1,90,hankel,0.0,-76.269003410599015507,3,100,False,True,4,1,1
8.0,1,90,hankel,0.0,-110.32470497035910273,4,100,False,True,4,1,1
8.0,-1,90,hankel,0.0,-150.38560579917482666,5,100,False,True,4,-1,1
8.0,-1,90,hankel,0.0,-196.47113803359555195,6,100,False,True,4,-1,1
8.0,1,90,hankel,0.0,-248.60065453825748385,7,100,False,True,4,1,1
