A_ball,A_rad,abs_tol,c_ball,c_rad,cache_A,cache_A_exact_contained,cache_A_radius,cache_A_radius_contains_A_ball,cache_A_radius_overlaps_A_ball,cutoff,dps,elapsed_seconds,full_mu_ball,full_mu_rad,k,kind,lam,n_sum,retained_mu_ball,retained_mu_rad,tail_mu_bound
[9.1514662055502999839351336772367689762918436730405e-653 +/- 8.56e-703],3.995662956330725724367315987646192624631e-703,1e-150,[4.0070165682374428163740792644406052351085415814784e-1074 +/- 6.59e-1124],1.749521578134917174436795202648036558932e-1124,,,,,,7,220,1.0823804999818094,[2.2559282346573607585042996675940740358832383983242e-100 +/- 4.67e-150],9.849710001589257648132639847075201388352e-151,220,acb_coefficient_enclosure,-100.0,70,[2.2559282346573607585042996675940740358832383983242e-100 +/- 4.67e-150],9.849709990208732850769043131848508707287e-151,1.966671833279075672853240678716955646824852699698191994557850027657953202710650640589250653055916759e-6282
[7.342235804796876940320340482517769903855329133295e-656 +/- 3.37e-705],1.049159745461609372059968918319861806412e-705,1e-150,[1.4546767998289008752049469182130870484954792084344e-1079 +/- 4.33e-1129],2.078642494935998743686105472255249855885e-1129,,,,,,7,220,0.937767099996563,[1.5963624840686056536078398039014222151025530758004e-100 +/- 5.69e-150],2.281102500707510416634492748996782411307e-150,221,acb_coefficient_enclosure,-100.0,70,[1.5963624840686056536078398039014222151025530758004e-100 +/- 5.69e-150],2.281102498431405457161773405951443875094e-150,9.59318547298590208006448709399428771382353092274903630031615829518300468563757329401650504782964001e-6281
[5.878615667317743245136043267805028674139469345381e-659 +/- 5.70e-708],1.810790161622343365660559688315298799479e-708,1e-150,[5.246386448099218634937073193201699328448480997374e-1085 +/- 2.06e-1134],1.616044570898223642607929842512163950731e-1134,,,,,,7,220,1.0558728000032715,[1.1324315860356253080780353996381647871479782266586e-100 +/- 8.40e-150],3.48822933745353877778295487854496648771e-150,222,acb_coefficient_enclosure,-100.0,70,[1.1324315860356253080780353996381647871479782266586e-100 +/- 8.40e-150],3.488229332901328858837516192454289415283e-150,4.679534316002359021392355535940089964134098555957602943167704451989606353059209067263287080297483049e-6279
[4.697141772443838325075041865182730224672307770061e-662 +/- 3.87e-711],1.756618855864449110523260445455872260961e-711,1e-150,[1.8798102582549862798025826610197601536166579556199e-1090 +/- 7.88e-1140],7.030041445376140893908765716233150214392e-1140,,,,,,7,220,1.0073299999930896,[8.053053452243282489046332770680629127877478315685e-101 +/- 6.52e-150],3.01164966796073772336682562428186512072e-150,223,acb_coefficient_enclosure,-100.0,70,[8.053053452243282489046332770680629127877478315685e-101 +/- 6.52e-150],3.011649663408527804421386938191188048294e-150,2.282712433119271553947657996894265361698971342565000719815923838381059653880448628896554245769275568e-6277
[3.745474827884249052655981542790518003822074341233e-665 +/- 4.22e-714],2.548874847625776739057146100462795845355e-714,1e-150,[6.691742348504547834574131296356299943596184200799e-1096 +/- 5.89e-1145],4.553872202091129298796174530342023609575e-1145,,,,,,7,220,0.9684290000004694,[5.740785427836417352692580556206777118184481674935e-101 +/- 4.71e-150],3.906725894778921079571996262842965833278e-150,224,acb_coefficient_enclosure,-100.0,70,[5.740785427836417352692580556206777118184481674935e-101 +/- 4.71e-150],3.906725890226711160626557576752288760852e-150,1.113546780013617034434644835322385171877340073857487990336930508509139189286046020461497274946201398e-6275
[2.980557087755582555327673718506545787074647179762e-668 +/- 3.52e-717],2.484779219191301475386989678006455209939e-717,1e-150,[2.366722037517239325721522411593900896624094951958e-1101 +/- 6.37e-1150],1.97304783758183211667178581435324957277e-1150,,,,,,7,220,1.0139779000310227,[4.102401979801005792698994236518614637546968840198e-101 +/- 3.59e-150],3.420019424622533191709176549271316072743e-150,225,acb_coefficient_enclosure,-100.0,70,[4.102401979801005792698994236518614637546968840198e-101 +/- 3.59e-150],3.420019420070323272763737863180639000317e-150,5.432182418421194761551357211070464781923139460075076114280001799935603393233325608907627837270815289e-6274
[2.367053483164567654970157867603143922870880846477e-671 +/- 3.34e-720],2.700825995130646146934265536693031390738e-720,1e-150,[8.31666947594290813149292271924554222086109540284e-1107 +/- 2.37e-1155],9.489383015795053008834272934985032421397e-1156,,,,,,7,220,0.9460932000074536,[2.938700839463940608765566446225361966107941276340e-101 +/- 8.24e-150],3.353079951640126736554789778336392480592e-150,226,acb_coefficient_enclosure,-100.0,70,[2.938700839463940608765566446225361966107941276340e-101 +/- 8.24e-150],3.353079947087916817609351092245715408166e-150,2.65001764381214090586144465800101989438674302269755203199721324010545031759521551062361297076926594e-6272
[1.876037267863908616861436743640421794561730184213e-674 +/- 3.10e-723],2.62030967290811375272196794920205559495e-723,1e-150,[2.903734973404808290625063233888498152193188829762e-1112 +/- 8.37e-1161],4.05572157422787307432662079698733219204e-1161,,,,,,7,220,1.0235983000020497,[2.110167672100687285510373940554766730829926769967e-101 +/- 7.05e-150],2.947325630769582018446022763133487368983e-150,227,acb_coefficient_enclosure,-100.0,70,[2.110167672100687285510373940554766730829926769967e-101 +/- 7.05e-150],2.947325626217372099500584077042810296557e-150,1.292800915158199817305637078541728320784671096149836537455871259134520454937604366798073343124514199e-6270
[1.483885184861991283898809852893866965177938080185e-677 +/- 5.27e-726],2.385965895351893547825549901284811583418e-726,1e-150,[1.007351333656699230511470498577954475538467480796e-1117 +/- 3.36e-1166],1.619738469699086058517722838568933576093e-1166,,,,,,7,220,1.0120911000412889,[1.518858076999132568502194234667173211560912845867e-101 +/- 5.63e-150],2.442199428432392431028110475430060359658e-150,228,acb_coefficient_enclosure,-100.0,70,[1.518858076999132568502194234667173211560912845867e-101 +/- 5.63e-150],2.442199426156287471555391132384721823445e-150,6.307001401193012018999820277043289477438565008459651116537997751073114560795161785068500040472876165e-6269
[1.171351528261674964319915377659183415694146991843e-680 +/- 6.67e-729],2.477915463747656430679381940554894675019e-729,1e-150,[3.47242147210797498595039393710092606293639994802e-1123 +/- 4.22e-1171],7.345674319993464662321874403802070443599e-1172,,,,,,7,220,0.8966449999716133,[1.095848053164628333877199677678792123812596365228e-101 +/- 3.77e-150],2.318192919297525439888564704105985615317e-150,229,acb_coefficient_enclosure,-100.0,70,[1.095848053164628333877199677678792123812596365228e-101 +/- 3.77e-150],2.318192917021420480415845361060647079104e-150,3.076964757666996037940369835813298066847097739312352232083559556422227763831940258236142078568826056e-6267
