A_ball,A_rad,abs_tol,c_ball,c_rad,cache_A,cache_A_exact_contained,cache_A_radius,cache_A_radius_contains_A_ball,cache_A_radius_overlaps_A_ball,cutoff,dps,elapsed_seconds,full_mu_ball,full_mu_rad,k,kind,lam,n_sum,retained_mu_ball,retained_mu_rad,tail_mu_bound
[2.0361676077633903212705043915481197605991948274e-730 +/- 8.28e-777],4.522910140796039118472942246701690964588e-777,1e-150,[5.908132488682910150032112879435607891112434405e-1211 +/- 4.40e-1257],1.312365057644574756580635494045211889737e-1257,,,,,,7,220,1.1382024000049569,[8.081558869846244417287634737533525505896296278e-104 +/- 4.85e-150],1.795145160424223865943610861606879380658e-150,245,acb_coefficient_enclosure,-100.0,70,[8.081558869846244417287634737533525505896296278e-104 +/- 4.85e-150],1.795145158148118906470891518561540844445e-150,3.17680820620706155578858112296595099568819818250590735381664705602717641999680115459719586537261492e-6240
[1.5547857027318877858625091625915696172699633170e-733 +/- 6.49e-780],4.438182142650769599423588373461309734648e-780,1e-150,[1.8338851455740865795846528400512806564917749220e-1216 +/- 5.25e-1263],5.234879809668327895332904913010423847158e-1263,,,,,,7,220,1.0601040999754332,[6.059874678400062601828450494802096940364539121e-104 +/- 4.91e-150],1.729809285325544482584295881302905188395e-150,246,acb_coefficient_enclosure,-100.0,70,[6.059874678400062601828450494802096940364539121e-104 +/- 4.91e-150],1.729809283049439523111576538257566652182e-150,1.550321067609243285410090735039306592398830833121899087737823763102593052509189431611641690162266579e-6238
[1.1849524438931004279432097728170731176226099725e-736 +/- 5.87e-783],4.691345168399291636164721942818596672253e-783,1e-150,[5.658555268917971644631443744781812245895889313e-1222 +/- 5.80e-1268],2.240278581960724234032716760661077926938e-1268,,,,,,7,220,1.0751011000247672,[4.553768413922060698005773070663003377560414099e-104 +/- 3.58e-150],1.802882419609367778660637288797246934502e-150,247,acb_coefficient_enclosure,-100.0,70,[4.553768413922060698005773070663003377560414099e-104 +/- 3.58e-150],1.802882417333262819187917945751908398289e-150,7.565880006108381827404355936635258455066375037520346719693456291973604115043331131200490567525227021e-6237
[9.013781872622900515189876066814611894745639735e-740 +/- 6.87e-786],5.440259565368113407662048068304469467291e-786,1e-150,[1.735641415164517874247645509912157972967625382e-1227 +/- 3.61e-1273],1.047544739593984338525003991936042920108e-1273,,,,,,7,220,0.9918907000101171,[3.429353527151680189975503560388059665128812411e-104 +/- 3.09e-150],2.069783080336947064773767951046755670455e-150,248,acb_coefficient_enclosure,-100.0,70,[3.429353527151680189975503560388059665128812411e-104 +/- 3.09e-150],2.069783078060842105301048608001417134242e-150,3.692362566361344089007900467667770499549998521832112870948989584744864543468329911212633776968297412e-6235
[6.843704766212017044897494762998307761587836618e-743 +/- 9.59e-789],6.946949097086927423410376948231824674559e-789,1e-150,[5.292305173728561336347706969780289705000760880e-1233 +/- 8.69e-1279],5.372145025590639142506824020903229917448e-1279,,,,,,7,220,1.0947433999972418,[2.588110796332463801631697062068682990999210777e-104 +/- 3.40e-150],2.627155096062491668791594033505312704093e-150,249,acb_coefficient_enclosure,-100.0,70,[2.588110796332463801631697062068682990999210777e-104 +/- 3.40e-150],2.627155091510281749846155347414635631667e-150,1.802006123819595442877943889561387073658138557157864624172760387921677078699082932420065538487153244e-6233
[5.186279647453645514081758646845976441564422689e-746 +/- 6.34e-792],2.030616881615071566217600143153615248152e-792,1e-150,[1.6042407174624020782578182832963234677796617667e-1238 +/- 7.83e-1285],6.281185124804807301400243819341280419537e-1285,,,,,,7,220,1.101232599990908,[1.957393177130276456336381855073106471471414139e-104 +/- 1.33e-150],7.663905272828393825764647052956723392004e-151,250,acb_coefficient_enclosure,-100.0,70,[1.957393177130276456336381855073106471471414139e-104 +/- 1.33e-150],7.663905261447869028401050337730030710938e-151,8.794581184333917799163394419893308450701625920372644296536559729555474301650953449222160175957960872e-6232
[3.922865046187459739100345315491924414513546202e-749 +/- 2.01e-795],1.804475398047651163032825545070130352991e-795,1e-150,[4.834407454517126085940345997063191674756974064e-1244 +/- 5.41e-1290],2.223775016889001521532249066125269315606e-1290,,,,,,7,220,1.0458545999717899,[1.4835193969033596453786154358746647709048514945e-104 +/- 8.21e-151],6.824028369611656638342435329160759341442e-151,251,acb_coefficient_enclosure,-100.0,70,[1.4835193969033596453786154358746647709048514945e-104 +/- 8.21e-151],6.824028358231131840978838613934066660376e-151,4.292210208632472128263661423736795808275829318473718585202306258466348680541337101887769585677772991e-6230
[2.961664738498517430405460656511997767098050209e-752 +/- 4.72e-798],1.614052212599682782557938901702432028463e-798,1e-150,[1.4483557137206664639133610618335284036852774922e-1249 +/- 8.70e-1296],7.893269294255178194246277141937890623242e-1296,,,,,,7,220,1.1726959999650717,[1.1267400629810429977533120299453121195591215679e-104 +/- 6.64e-151],6.140523792011225562864708400784914355478e-151,252,acb_coefficient_enclosure,-100.0,70,[1.1267400629810429977533120299453121195591215679e-104 +/- 6.64e-151],6.140523780630700765501111685558221674412e-151,2.094853564597317634560682437838431807654937924998450336029331531731091008501036347529264494617823186e-6228
[2.231802778728898511560833248205585779161929927e-755 +/- 3.13e-801],1.455606755691778685427077577947763457603e-801,1e-150,[4.313945310313401828131553553856897714609561423e-1255 +/- 7.08e-1301],2.813603410564651521577302930990205430495e-1301,,,,,,7,220,0.9657487999647856,[8.575610150892843643916133554487899652128399530e-105 +/- 6.28e-151],5.593108889910381661857469733079023227924e-151,253,acb_coefficient_enclosure,-100.0,70,[8.575610150892843643916133554487899652128399530e-105 +/- 6.28e-151],5.593108884220119263175671375465676887391e-151,1.022429022800012324796924791406548226438292681540170681756327588810371735805880560544608479670967155e-6226
[1.678670333128363523584327630672026769829644378e-758 +/- 2.98e-804],1.326173360877006343329379174414634021692e-804,1e-150,[1.277469440439404155130248807922334686066908039e-1260 +/- 3.84e-1306],1.009218964295056650230906894582553688411e-1306,,,,,,7,220,1.1224449999863282,[6.540524638102131920585329371031647883880365773e-105 +/- 8.61e-151],5.16710714506152328581561882430780861145e-151,254,acb_coefficient_enclosure,-100.0,70,[6.540524638102131920585329371031647883880365773e-105 +/- 8.61e-151],5.167107139371260887133820466694462270918e-151,4.990216937803675085447937641043787345659431254912074704690068033166221028020725101298567477498199809e-6225
