A_ball,A_rad,abs_tol,c_ball,c_rad,cache_A,cache_A_exact_contained,cache_A_radius,cache_A_radius_contains_A_ball,cache_A_radius_overlaps_A_ball,cutoff,dps,elapsed_seconds,full_mu_ball,full_mu_rad,k,kind,lam,n_sum,retained_mu_ball,retained_mu_rad,tail_mu_bound
[2.44685767679241320746433752262791115086910562627639066757125046147959e-52 +/- 2.29e-121],1.145536082691284401880019184059946958472e-121,1e-90,[4.78922010983643671415729059134205581353926319142966215310974220143153e-72 +/- 5.72e-141],2.242151014393350276119238853755269774745e-141,2.4468576767924132074643375226279111508691056262763906675712504614795888567841423e-52,True,1e-80,True,True,8,120,0.6140911000002234,[6.72888355358531300326880854335551995225251933099705561431190665016235e-21 +/- 6.78e-90],3.150235883763880623329368978539040954604e-90,21,acb_coefficient_enclosure,0.0,100,[6.72888355358531300326880854335551995225251933099705561431190665016235e-21 +/- 6.78e-90],3.150235880106320971226089035448533600027e-90,3.186147431743010865620847866881706241602962423210060499252247127140395e-13569
[7.14920405663784392524442399032336546700383561295561018359679987653752e-55 +/- 5.31e-124],4.014971867697498531389380628858203724186e-124,1e-90,[6.36049771139682906649919469364040808081595407275840990634215270287613e-76 +/- 5.77e-145],3.572036706540518384900780202724309297645e-145,7.1492040566378439252444239903233654670038356129556101835967998765375212931632863e-55,True,1e-80,True,True,8,120,0.6949256000007153,[1.69079302677131731259068962557001104559683508487997577731910956476051e-21 +/- 4.06e-90],9.495443601720784906525441666942885563073e-91,22,acb_coefficient_enclosure,0.0,100,[1.69079302677131731259068962557001104559683508487997577731910956476051e-21 +/- 4.06e-90],9.49544359257688577626724180921661717663e-91,1.948506162701503533819682962146323461531411686372019220876040909753415e-13567
[2.0534473287782101132648952661567578961801160017314754310893957972094e-57 +/- 5.25e-125],9.984634639593684060397754303843573684195e-126,1e-90,[7.9430837041411313586764378993446588862672314485963422510398366909537e-80 +/- 8.14e-148],3.862226581561845434929641659352660387805e-148,2.0534473287782101132648952661567578961801160017314754310893957972093575297641448e-57,True,1e-80,True,True,8,120,0.5370706999983668,[4.3707788407649279981451789603905863722399391826048604987345148709708e-22 +/- 3.81e-90],2.125237350857959442676307684115281627432e-90,23,acb_coefficient_enclosure,0.0,100,[4.3707788407649279981451789603905863722399391826048604987345148709708e-22 +/- 3.81e-90],2.125237347200399790573027741024774272855e-90,1.193978244378793654766103602336470546640524607819450075770850600019114e-13565
[5.801230783423486219725661578035542417127886097726507399349085738221e-60 +/- 5.27e-127],1.298641445067135196397741267976064704501e-127,1e-90,[9.350061612243001469485849264790162872479832348002631012651838808911e-84 +/- 6.05e-151],2.093069202308670060356749122510466658955e-151,5.8012307834234862197256615780355424171278860977265073993490857382206030480681378e-60,True,1e-80,True,True,8,120,0.5434038000003056,[1.1607087563939636653613136261860492311768255211880692179756890138166e-22 +/- 4.61e-90],2.5983184349219059543624822341850528021e-90,24,acb_coefficient_enclosure,0.0,100,[1.1607087563939636653613136261860492311768255211880692179756890138166e-22 +/- 4.61e-90],2.598318431264346302259202291094545447523e-90,7.32956440630900268068661150169000694754020004147123638350758898950509e-13564
[1.6128197986851586705385950955476991187002580301028427521868459182616e-62 +/- 9.19e-130],5.953067141209075609400019816099504853587e-130,1e-90,[1.0397769059794192823064640502833923486029159050610904280282244378078e-87 +/- 4.12e-155],3.837912780401068440686775030130600184153e-155,1.6128197986851586705385950955476991187002580301028427521868459182616322836838818e-62,True,1e-80,True,True,8,120,0.5892632000013691,[3.162387172744722625490649681945184683219003235457910857540168507887e-23 +/- 5.46e-90],1.167266365520707683111656884932961231692e-90,25,acb_coefficient_enclosure,0.0,100,[3.162387172744722625490649681945184683219003235457910857540168507887e-23 +/- 5.46e-90],1.167266363691927857060016913387707554403e-90,4.50696352513432007973200268025487486029138575099094064679996060217411e-13562
[4.41453779390399081436257624388444248379481388685438811435528336366e-65 +/- 3.21e-131],1.158351406812303942365046598975878853266e-131,1e-90,[1.094627141762897668755423251587545984181669029534180476559668466868e-91 +/- 3.42e-158],2.872243805901850425983988168268144428275e-158,4.4145377939039908143625762438844424837948138868543881143552833636620460725458332e-65,True,1e-80,True,True,8,120,0.4977846000001591,[8.82906277471814178763276938203118461331994501941829073427545530095e-24 +/- 5.14e-90],2.316699435773507928486709431898946175678e-90,26,acb_coefficient_enclosure,0.0,100,[8.82906277471814178763276938203118461331994501941829073427545530095e-24 +/- 5.14e-90],2.3166994321159482763834294888084388211e-90,2.775609235101588818914199386481492744149260960610269862482088944433263e-13560
[1.19017367266474449538145015257034832915781421018892485901573827629e-67 +/- 1.49e-133],7.269472033582878836010680233400662660654e-134,1e-90,[1.093018589380753230096580143388640176897723869239595673040233614333e-95 +/- 6.93e-162],6.676057650452468461091573216026513523471e-162,1.1901736726647444953814501525703483291578142101889248590157382762892461279124515e-67,True,1e-80,True,True,8,120,0.5349280000009458,[2.52316452433175151423372442238338904967009369394472140137909290269e-24 +/- 6.29e-90],1.541125826045574142988781964688581549106e-90,27,acb_coefficient_enclosure,0.0,100,[2.52316452433175151423372442238338904967009369394472140137909290269e-24 +/- 6.29e-90],1.541125824216794316937141993143327871818e-90,1.711793913720834413410357148899131525118962396070915522461681036275933e-13558
[3.1618537147924397782013654536513417179556175447861303121681941297e-70 +/- 4.99e-135],1.303803294339003789315171075191778996674e-135,1e-90,[1.03705299683370081731408995483503652225521134221947048226575906143e-99 +/- 4.32e-165],4.276330385187256885687956974369519062233e-165,3.1618537147924397782013654536513417179556175447861303121681941297368198811628604e-70,True,1e-80,True,True,8,120,0.7176774999988993,[7.3734321622756280987821820413857809214804421556198833162356443476e-25 +/- 3.37e-90],3.040464859674349687969022021305781967157e-90,28,acb_coefficient_enclosure,0.0,100,[7.3734321622756280987821820413857809214804421556198833162356443476e-25 +/- 3.37e-90],3.04046485601679003586574207821527461258e-90,1.057107820403041602667448625285077713757675023538530287555283727665137e-13556
[8.280370967200052019342692445309397375579875771268623277353959735e-73 +/- 3.25e-137],1.530137955302802428844627084078324759137e-137,1e-90,[9.365068832505177395763829260528219175972576884629531715330622316e-104 +/- 4.66e-168],1.73058034039393460735003505591015668275e-168,8.2803709672000520193426924453093973755798757712686232773539597351711961007158084e-73,True,1e-80,True,True,8,120,0.5902186000002985,[2.2013168662489163140201532831908877066863406549658587686663867405e-25 +/- 7.11e-90],4.067835221260549238876619046305285964306e-90,29,acb_coefficient_enclosure,0.0,100,[2.2013168662489163140201532831908877066863406549658587686663867405e-25 +/- 7.11e-90],4.067835213945429934670059160124271255152e-90,6.53615140479711146869636031362705677930169234892976015085029667546173e-13555
[2.138430676777709500403146218096175745946018887310189202899821841e-75 +/- 2.55e-139],9.950404599264809283735746469472115921083e-140,1e-90,[8.061857196532389380869078047816888296371205785966327717004389049e-108 +/- 6.62e-172],3.751290207641688679581096557697620263282e-172,2.1384306767777095004031462180961757459460188873101892028998218411554301713993447e-75,True,1e-80,True,True,8,120,0.5319625000011001,[6.708260983710744459884966541562059958882466716645466083704158250e-26 +/- 3.72e-90],3.121443735115148296161678000626133695091e-90,30,acb_coefficient_enclosure,0.0,100,[6.708260983710744459884966541562059958882466716645466083704158250e-26 +/- 3.72e-90],3.121443731457588644058398057535626340514e-90,4.04598486959244145996679615479602727846609677205881546387060987648254e-13553
